Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Zootopia 2,2025,1h 48m,PG,7.3,145K,73.0,"Brave rabbit cop Judy Hopps and her friend, the fox Nick Wilde, team up again to crack a new case, the most perilous and intricate of their careers.",https://www.imdb.com/title/tt26443597/?ref_=sr_i_1,['Jared Bush'],"['Jared Bush', 'Byron Howard']","['Ginnifer Goodwin', 'Jason Bateman', 'Ke Huy Quan', 'Fortune Feimster', 'Andy Samberg', 'David Strathairn', 'Idris Elba', 'Shakira', 'Patrick Warburton', 'Quinta Brunson']","$150,000,000 (estimated)","$100,262,540","$1,866,647,950","$428,130,160","November 26, 2025",['United States'],"['Walt Disney Animation Studios, Vancouver BC (Studio)']","['Walt Disney Pictures', 'Walt Disney Animation Studios']","Nominated for 1 Oscar, 20 wins & 90 nominations total","['Animal Adventure', 'Buddy Comedy', 'Buddy Cop', 'Computer Animation', 'Urban Adventure', 'Whodunnit', 'Adventure', 'Animation', 'Comedy', 'Crime']",['English']
2. A Minecraft Movie,2025,1h 41m,PG,5.6,164K,45.0,Four misfits are suddenly pulled through a mysterious portal into a bizarre cubic wonderland that thrives on imagination. To get back home they'll have to master this world while embarking on a quest with an unexpected expert crafter.,https://www.imdb.com/title/tt3566834/?ref_=sr_i_2,"['Chris Bowman', 'Hubbel Palmer', 'Neil Widener']",['Jared Hess'],"['Jason Momoa', 'Jack Black', 'Sebastian Hansen', 'Emma Myers', 'Danielle Brooks', 'Jennifer Coolidge', 'Rachel House', 'Allan Henry', 'Bram Scott-Breheny', 'Moana Williams']","$150,000,000 (estimated)","$162,753,003","$960,387,780","$424,087,780","April 4, 2025","['United States', 'Sweden', 'New Zealand', 'Canada']","['Auckland, New Zealand (location)']","['Warner Bros.', 'Legendary Pictures', 'Domain Entertainment (II)']","Awards, 3 wins & 15 nominations total","['High-Concept Comedy', 'Quest', 'Slapstick', 'Survival', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']","['English', 'Spanish']"
3. Lilo & Stitch,2025,1h 48m,PG,6.7,97K,53.0,"A lonely Hawaiian girl befriends a runaway alien, helping to mend her fragmented family.",https://www.imdb.com/title/tt11655566/?ref_=sr_i_3,"['Chris Kekaniokalani Bright', 'Mike Van Waes', 'Chris Sanders']",['Dean Fleischer Camp'],"['Maia Kealoha', 'Sydney Agudong', 'Chris Sanders', 'Zach Galifianakis', 'Billy Magnussen', 'Courtney B. Vance', 'Amy Hill', 'Tia Carrere', 'Kaipo Dudoit', 'Hannah Waddingham']","$100,000,000 (estimated)","$146,016,175","$1,038,027,526","$423,778,855","May 23, 2025","['United States', 'Australia', 'Canada']","[""Waikiki, O'ahu, Hawaii, USA (Sourced via witnessing filming from hotel view.)""]","['Walt Disney Pictures', 'Rideback']","Nominated for 1 BAFTA Award, 10 nominations total","['Alien Invasion', 'Animal Adventure', 'Buddy Comedy', 'Space Sci-Fi', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']","['English', 'Hawaiian']"
4. Avatar: Fire and Ash,2025,3h 17m,PG-13,7.2,189K,61.0,"Jake and Neytiri's family grapples with grief, encountering a new, aggressive Na'vi tribe, the Ash People, who are led by the fiery Varang, as the conflict on Pandora escalates and a new moral focus emerges.",https://www.imdb.com/title/tt1757678/?ref_=sr_i_4,"['James Cameron', 'Rick Jaffa', 'Amanda Silver']",['James Cameron'],"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Oona Chaplin', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder', 'Edie Falco']","$400,000,000 (estimated)","$89,160,860","$1,485,999,890","$404,340,010","December 19, 2025","['United States', 'Canada']",['New Zealand'],"['20th Century Studios', 'Lightstorm Entertainment', 'TSG Entertainment']","Won 1 Oscar, 41 wins & 59 nominations total","['Action Epic', 'Adventure Epic', 'Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",['English']
5. Superman,2025,2h 9m,PG-13,7.0,428K,68.0,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the American way he soon finds himself in a world that views these as old-fashioned.",https://www.imdb.com/title/tt5950044/?ref_=sr_i_5,"['James Gunn', 'Jerry Siegel', 'Joe Shuster']",['James Gunn'],"['David Corenswet', 'Rachel Brosnahan', 'Nicholas Hoult', 'Alan Tudyk', 'Grace Chan', 'Bradley Cooper', 'Angela Sarafyan', 'Michael Rooker', 'Pom Klementieff', 'María Gabriela de Faría']","$225,000,000 (estimated)","$125,021,735","$618,723,803","$354,223,803","July 11, 2025",['United States'],"['Cincinnati, Ohio, USA']","['DC Studios', 'Domain Entertainment (II)', 'Troll Court Entertainment']","Awards, 5 wins & 78 nominations total","['DC', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']",['English']
6. Wicked: For Good,2025,2h 17m,PG,6.6,70K,58.0,"Elphaba, the future Wicked Witch of the West and her relationship with Glinda, the Good Witch of the North. The second of a two-part feature film adaptation of the Broadway musical.",https://www.imdb.com/title/tt19847976/?ref_=sr_i_6,"['Winnie Holzman', 'Dana Fox', 'Stephen Schwartz']",['Jon M. Chu'],"['Cynthia Erivo', 'Ariana Grande', 'Jeff Goldblum', 'Michelle Yeoh', 'Jonathan Bailey', 'Ethan Slater', 'Marissa Bode', 'Colman Domingo', 'Bowen Yang', 'Bronwyn James']","$150,000,000 (estimated)","$147,004,640","$540,807,925","$342,915,090","November 21, 2025","['United States', 'Canada', 'Australia', 'Japan']","['Cairo, Egypt']","['Universal Pictures', 'Marc Platt Productions', 'Dentsu']","Nominated for 2 BAFTA Awards, 27 wins & 153 nominations total","['Fairy Tale', 'Pop Musical', 'Drama', 'Family', 'Fantasy', 'Musical', 'Romance']",['English']
7. Jurassic World: Rebirth,2025,2h 13m,PG-13,5.8,201K,50.0,"Five years post-Jurassic World: Dominion (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthrough.",https://www.imdb.com/title/tt31036941/?ref_=sr_i_7,"['David Koepp', 'Michael Crichton']",['Gareth Edwards'],"['Scarlett Johansson', 'Mahershala Ali', 'Jonathan Bailey', 'Rupert Friend', 'Manuel Garcia-Rulfo', 'Luna Blaise', 'David Iacono', 'Audrina Miranda', 'Philippine Velge', 'Bechir Sylvain']","$180,000,000 (estimated)","$92,016,065","$869,146,189","$339,640,400","July 2, 2025","['United States', 'United Kingdom', 'Malta', 'India', 'Taiwan', 'Japan']","['Krabi, Thailand']","['Universal Pictures', 'Amblin Entertainment', 'Dentsu']","Nominated for 1 Oscar, 3 wins & 15 nominations total","['Jurassic Park', 'Dinosaur Adventure', 'Jungle Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['English', 'French', 'Spanish']"
8. Sinners,2025,2h 17m,R,7.5,501K,84.0,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",https://www.imdb.com/title/tt31193180/?ref_=sr_i_8,['Ryan Coogler'],['Ryan Coogler'],"['Michael B. Jordan', ""Jack O'Connell"", 'Hailee Steinfeld', 'Miles Caton', 'Saul Williams', 'Andrene Ward-Hammond', 'Tenaj L. Jackson', 'Dave Maldonado', 'Aadyn Encalarde', 'Helena Hu']","$90,000,000 (estimated)","$48,007,468","$370,333,701","$279,989,632","April 18, 2025","['United States', 'Australia', 'Canada']","['New Orleans, Louisiana, USA']","['Warner Bros.', 'Domain Entertainment (II)', 'Proximity Media']","Won 4 Oscars, 340 wins & 504 nominations total","['Folk Horror', 'Period Drama', 'Supernatural Horror', 'Vampire Horror', 'Horror']","['English', 'Chinese']"
9. The Fantastic Four: First Steps,2025,1h 55m,PG-13,6.8,272K,65.0,"Forced to balance their roles as heroes with the strength of their family bond, the Fantastic Four must defend Earth from a ravenous space god called Galactus and his enigmatic herald, the Silver Surfer.",https://www.imdb.com/title/tt10676052/?ref_=sr_i_9,"['Josh Friedman', 'Eric Pearson', 'Jeff Kaplan']",['Matt Shakman'],"['Pedro Pascal', 'Vanessa Kirby', 'Ebon Moss-Bachrach', 'Joseph Quinn', 'Ralph Ineson', 'Julia Garner', 'Natasha Lyonne', 'Paul Walter Hauser', 'Sarah Niles', 'Mark Gatiss']","$200,000,000 (estimated)","$117,644,828","$521,858,728","$274,286,610","July 25, 2025","['United Kingdom', 'United States', 'Canada', 'New Zealand']","['Palacio de Exposiciones y Congresos Ciudad de Oviedo, Oviedo, Asturias, Spain']","['Marvel Studios', 'Pinewood Studios', 'New Zealand Film Commission']","Awards, 6 wins & 51 nominations total","['Marvel', 'Action Epic', 'Adventure Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']",['English']
10. How to Train Your Dragon,2025,2h 5m,PG,7.7,138K,61.0,"As an ancient threat endangers both Vikings and dragons alike on the isle of Berk, the friendship between Hiccup, an inventive Viking, and Toothless, a Night Fury dragon, becomes the key to both species forging a new future together.",https://www.imdb.com/title/tt26743210/?ref_=sr_i_10,"['Dean DeBlois', 'Cressida Cowell', 'William Davies']",['Dean DeBlois'],"['Mason Thames', 'Nico Parker', 'Gerard Butler', 'Nick Frost', 'Gabriel Howell', 'Julian Dennison', 'Bronwyn James', 'Harry Trevaldwyn', 'Murray McArthur', 'Peter Serafinowicz']","$150,000,000 (estimated)","$84,633,315","$636,596,299","$262,958,100","June 13, 2025","['United States', 'United Kingdom', 'Ireland', 'Iceland', 'Canada']",['Iceland (on location)'],"['Universal Pictures', 'DreamWorks Animation', 'Marc Platt Productions']","Nominated for 1 BAFTA Award, 4 wins & 21 nominations total","['Animal Adventure', 'Sword & Sorcery', 'Teen Adventure', 'Teen Comedy', 'Teen Drama', 'Teen Fantasy', 'Action', 'Adventure', 'Comedy', 'Drama']",['English']
11. Obsession,2025,1h 48m,R,8.0,212K,77.0,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",https://www.imdb.com/title/tt37287335/?ref_=sr_i_11,['Curry Barker'],['Curry Barker'],"['Michael Johnston', 'Inde Navarrette', 'Cooper Tomlinson', 'Megan Lawless', 'Andy Richter', 'Haley Fitzgerald', 'Darin Toonder', 'Anthony Pavone', 'Justice', 'Anthony Casabianca']","$750,000 (estimated)","$17,196,855","$426,716,765","$253,371,765","May 15, 2026",['United States'],"['Los Angeles, California, USA']","['Capstone Pictures', 'Blumhouse Productions', 'Tea Shop Productions']","Awards, 7 wins & 11 nominations total","['Dark Romance', 'Psychological Horror', 'Psychological Thriller', 'Supernatural Horror', 'Horror', 'Romance', 'Thriller']",['English']
