Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,directors,stars,characters,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,awards_wins_nominations_total,critic_reviews_count,user_reviews_count,genres,Languages,similar_movies,similar_movies_links,json_ld_rating,json_ld_vote_count,json_ld_content_rating,json_ld_keywords,json_ld_poster_url,json_ld_directors,json_ld_writers,json_ld_actors,json_ld_runtime_minutes,sex_nudity_severity,violence_gore_severity,profanity_severity,alcohol_drugs_smoking_severity,frightening_intense_scenes_severity,producers,composer,cinematographer,editor,casting_director,production_designer,costume_designer,release_dates_by_country,aka_titles,budget_numeric,grossWorldWWide_numeric,gross_US_Canada_numeric,opening_weekend_numeric,profit,roi,total_wins,total_nominations,runtime_minutes,release_month,release_decade,release_weekday,cast_size,genre_count,country_count,rating_mismatch
1. The Old Dark House,1932,1h 12m,Approved,7.0,15K,,"Seeking shelter from a storm, five travelers are in for a bizarre and terrifying night when they stumble upon the Femm family estate.",https://www.imdb.com/title/tt0023293/?ref_=sr_i_1,"['J.B. Priestley', 'Benn W. Levy', 'R.C. Sherriff']",['James Whale'],"['Boris Karloff', 'Melvyn Douglas', 'Charles Laughton', 'Lilian Bond', 'Ernest Thesiger', 'Eva Moore', 'Raymond Massey', 'Gloria Stuart', 'Elspeth Dudgeon', 'Brember Wills']","['Morgan', 'Penderel', 'Sir William Porterhouse', 'Gladys', 'Horace Femm', 'Rebecca Femm', 'Philip Waverton', 'Margaret Waverton', 'Sir Roderick Femm', 'Saul Femm']",,,"$34,649","$25,678","October 20, 1932",['United States'],"['Universal Studios - 100 Universal City Plaza, Universal City, California, USA']",['Universal Pictures'],Awards 1 nomination total,,128 Critic reviews,The Best of the Golden Oldies of Horror,"['Psychological Horror', 'Adventure', 'Comedy', 'Drama', 'Horror', 'Thriller']",['English'],,,7.0,14862.0,Approved,"storm,butler,guest,night,fear",https://m.media-amazon.com/images/M/MV5BYTZlZjAyZTQtZjIzMC00NjhjLTgyY2YtZGIxNDE3MmEwMzZlXkEyXkFqcGc@._V1_.jpg,['James Whale'],"['J.B. Priestley', 'Benn W. Levy', 'R.C. Sherriff']","['Boris Karloff', 'Melvyn Douglas', 'Charles Laughton']",72.0,,Mild,,Mild,Mild,,,,,,,,"['October 19, 1932: (limited)', 'October 26, 1932: (London)']","['October 19, 1932: (limited)', 'October 26, 1932: (London)']",,34649.0,25678.0,,,,,,72.0,10.0,1930.0,Thursday,10,6,1,False
2. Fanny,1932,2h 5m,Not Rated,7.8,2.2K,,"After Fanny's boyfriend leaves her and sails away, she finds out she's pregnant.",https://www.imdb.com/title/tt0022877/?ref_=sr_i_2,['Marcel Pagnol'],['Marc Allégret'],"['Raimu', 'Pierre Fresnay', 'Fernand Charpin', 'Orane Demazis', 'Auguste Mouriès', 'Robert Vattier', 'Marcel Maupi', 'Alida Rouffe', 'Milly Mathis', 'Odette Roger', 'Louis Boulle', 'Édouard Delmont', 'André Gide', 'Pierre Prévert', 'Annie Toinon']","['César Olivier', 'Marius Olivier', 'Honore Panisse', 'Fanny Cabanis', 'Félix Escartefigue', 'Albert Brun', 'Innocent Mangiapan chauffeur du ferry-boat', 'Honorine Cabanis', 'Tante Claudine Foulon', 'Fortunette', 'Elzéar Panisse', 'Dr. Felicien Venelle', None, 'Un voyageur du tramway', 'Amélie']",,"$7,720","$8,262","$8,262","February 12, 1948",['France'],"['Hôtel de ville de Marseille, Marseille, Bouches-du-Rhône, France']","['Les Films Marcel Pagnol', 'Les Établissements Braunberger-Richebé']",,,20 Critic reviews,Part Two of the magnificent Marseilles Trilogy of Marcel Pagnol,"['French', 'Comedy', 'Drama']",['French'],,,7.8,2160.0,Not Rated,"france,marseille france,group of friends,pregnant bride,sailor",https://m.media-amazon.com/images/M/MV5BMTQ3OTQzOTc4NF5BMl5BanBnXkFtZTgwMDQyMDM3MjE@._V1_.jpg,['Marc Allégret'],['Marcel Pagnol'],"['Raimu', 'Pierre Fresnay', 'Fernand Charpin']",125.0,,,,,,,,,,,,,"['October 27, 1932: (Brussels)', 'September 13, 1934: (Medietilsynet, Oslo, Norway)', 'June 21, 1950: (re-release, Paris)']","['October 27, 1932: (Brussels)', 'September 13, 1934: (Medietilsynet, Oslo, Norway)', 'June 21, 1950: (re-release, Paris)']",,8262.0,8262.0,7720.0,,,,,125.0,2.0,1940.0,Thursday,15,3,1,False
3. Freaks,1932,1h 4m,Not Rated,7.8,55K,80.0,"When a sideshow performer's friends discover that a trapeze artist only wants to marry him for his inheritance, they seek revenge.",https://www.imdb.com/title/tt0022913/?ref_=sr_i_3,"[""Clarence Aaron 'Tod' Robbins"", 'Willis Goldbeck', 'Leon Gordon']",['Tod Browning'],"['Wallace Ford', 'Leila Hyams', 'Olga Baclanova', 'Roscoe Ates', 'Henry Victor', 'Harry Earles', 'Daisy Earles', 'Rose Dione', 'Daisy Hilton', 'Violet Hilton', 'Schlitze', 'Josephine Joseph', 'Johnny Eck', ""Frances O'Connor"", 'Peter Robinson', 'Olga Roderick', 'Koo Koo', 'Prince Randian']","['Phroso', 'Venus', 'Cleopatra', 'Roscoe', 'Hercules', 'Hans', 'Frieda', 'Madame Tetrallini', 'Siamese Twin', 'Siamese Twin', 'Self (Pinhead)', 'Half Woman-Half Man', 'Half Boy', 'Armless Girl', 'Human Skeleton', 'Bearded Lady', 'By Herself', 'The Living Torso']","$310,607 (estimated)",,"$4,693",,"February 20, 1932",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']",['Metro-Goldwyn-Mayer (MGM)'],Awards 2 wins & 1 nomination total,2 wins & 1 nomination total,178 Critic reviews,'Freaks' is an extraordinary movie with a lot of heart.,"['Body Horror', 'Showbiz Drama', 'Drama', 'Horror']","['English', 'German', 'French']",,,7.8,55080.0,Not Rated,"circus,told in flashback,femme fatale,gold digger,poison",https://m.media-amazon.com/images/M/MV5BMDM1ODExZmItYjc2MS00MTM4LWIxMGItOWI0OWM0MzI3N2Q1XkEyXkFqcGc@._V1_.jpg,['Tod Browning'],"['Clarence Aaron &apos;Tod&apos; Robbins', 'Willis Goldbeck', 'Leon Gordon']","['Wallace Ford', 'Leila Hyams', 'Olga Baclanova']",64.0,,Mild,,Mild,Moderate,,,,,,,,"['January 28, 1932: (San Diego, CA, premiere)', 'February 12, 1932: (Los Angeles, California)']","['January 28, 1932: (San Diego, CA, premiere)', 'February 12, 1932: (Los Angeles, California)']",310607.0,4693.0,,,-305914.0,-0.984890874964183,2.0,1.0,64.0,2.0,1930.0,Saturday,18,4,1,False
4. Scarface,1932,1h 33m,PG,7.7,34K,90.0,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",https://www.imdb.com/title/tt0023427/?ref_=sr_i_4,"['Armitage Trail', 'Ben Hecht', 'Seton I. Miller']","['Howard Hawks', 'Richard Rosson']","['Paul Muni', 'Ann Dvorak', 'Karen Morley', 'Osgood Perkins', 'C. Henry Gordon', 'George Raft', 'Vince Barnett', 'Boris Karloff', 'Purnell Pratt', 'Tully Marshall', 'Inez Palange', 'Edwin Maxwell', 'Henry Armetta', 'Gus Arnheim', 'Eugenie Besserer', 'Maurice Black', 'William A. Boardway', 'William Burress']","['Tony', 'Cesca', 'Poppy', 'Lovo', 'Guarino', 'Rinaldo', 'Angelo', 'Gaffney', 'Publisher', 'Managing Editor', ""Tony's Mother"", 'Detective Chief', 'Pietro - Barber', 'Orchestra Leader', 'Citizens Committee Member', 'Jim - Headwaiter', 'Nightclub Patron', 'Judge (alternate ending)']","$800,000 (estimated)",,$855,,"April 9, 1932",['United States'],"['Mayan Theater - 1038 Hill Street, Downtown, Los Angeles, California, USA (Location where play is staged)']",['The Caddo Company'],Awards 5 wins total,,82 Critic reviews,"Preferred far more than the remake; Hawks, Hecht, and Muni are first-rate here","['Film Noir', 'Gangster', 'Tragedy', 'Action', 'Crime', 'Drama', 'Thriller']",['English'],,,7.7,33607.0,PG,"gangster,organized crime,prohibition,chicago illinois,drive by shooting",https://m.media-amazon.com/images/M/MV5BMWY2ZWI2NTAtYTkyMy00N2I2LTljODgtYTRlYmVlMTI0NjM0XkEyXkFqcGc@._V1_.jpg,"['Howard Hawks', 'Richard Rosson']","['Armitage Trail', 'Ben Hecht', 'Seton I. Miller']","['Paul Muni', 'Ann Dvorak', 'Karen Morley']",93.0,,Moderate,Moderate,Mild,Moderate,,,,,,,,"['March 31, 1932: (New Orleans, Louisiana, premiere)', 'June 24, 1932: (London)']","['March 31, 1932: (New Orleans, Louisiana, premiere)', 'June 24, 1932: (London)']",800000.0,855.0,,,-799145.0,-0.99893125,,,93.0,4.0,1930.0,Saturday,18,7,1,False
5. Letty Lynton,1932,1h 24m,Approved,6.8,718,,"A socialite begins a shipboard romance with a wealthy man, but is blackmailed by a former lover.",https://www.imdb.com/title/tt0023132/?ref_=sr_i_5,"['Marie Belloc Lowndes', 'John Meehan', 'Wanda Tuchock']",['Clarence Brown'],"['Joan Crawford', 'Robert Montgomery', 'Nils Asther', 'Lewis Stone', 'May Robson', 'Louise Closser Hale', 'Emma Dunn', 'Walter Walker', 'William Pawley', 'Sidney Bracey', 'June Brown', 'Edward LeSaint', 'Edgar Norton', 'Lee Phelps', 'C. Montague Shaw', 'Harry Stubbs', 'Charles Williams']","['Letty Lynton', 'Jerry Darrow', 'Emile Renaul', 'District Attorney Haney', ""Mrs. Lynton, Letty's Mothers"", ""Miranda, Letty's Maid"", ""Mrs. Darrow, Jerry's Mother"", ""Mr. Darrow, Jerry's Father"", 'Hennessey', 'Waiter', None, 'Dr. Sanders', ""Darrow's Butler"", ""Dennis, Darrow's Chauffeur"", ""Ship's Officer at Christmas Party"", ""Ship's Steward"", 'Reporter']",,,,,"May 14, 1932",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']",['Metro-Goldwyn-Mayer (MGM)'],Awards 4 wins total,,12 Critic reviews,Dated plotline,['Drama'],['English'],,,6.8,718.0,Approved,"character name as title,new york city,montevideo uruguay,murder,adirondack mountains",https://m.media-amazon.com/images/M/MV5BMGQ0MTU4ZWEtYWQ5YS00NDU5LWI5NDctYTA3ZTNmNmViOTk5XkEyXkFqcGc@._V1_.jpg,['Clarence Brown'],"['Marie Belloc Lowndes', 'John Meehan', 'Wanda Tuchock']","['Joan Crawford', 'Robert Montgomery', 'Nils Asther']",84.0,,,,,,,,,,,,,"['April 30, 1932: (premiere)', 'June 1, 1932: (London)']","['April 30, 1932: (premiere)', 'June 1, 1932: (London)']",,,,,,,,,84.0,5.0,1930.0,Saturday,17,1,1,False
6. The Mummy,1932,1h 13m,Not Rated,6.9,34K,,A resurrected Egyptian mummy searches Cairo for the girl he believes to be his long-lost princess.,https://www.imdb.com/title/tt0023245/?ref_=sr_i_6,"['Nina Wilcox Putnam', 'Richard Schayer', 'John L. Balderston']",['Karl Freund'],"['Boris Karloff', 'Zita Johann', 'David Manners', 'Arthur Byron', 'Edward Van Sloan', 'Bramwell Fletcher', 'Noble Johnson', 'Kathryn Byron', 'Leonard Mudie', 'James Crane', 'Henry Victor', 'Arnold Gray', 'Florence Britton', 'Jack Deery', 'Bill Elliott', 'Leyland Hodgson', 'Eddie Kane', 'Tony Marlow']","['Imhotep', 'Helen Grosvenor', 'Frank Whemple', 'Sir Joseph Whemple', 'Doctor Muller', 'Ralph Norton', 'The Nubian', 'Frau Muller', 'Professor Pearson', 'The Pharoh', 'The Saxon Warrior', 'Knight', 'Nurse', 'Party Guest', 'Party Guest', 'Gentleman #2 at Cairo Party', ""Inspector's Assistant"", 'Police Inspector']","$196,000 (estimated)",,"$1,408",,"December 22, 1932",['United States'],"['Mojave Desert, California, USA']",['Universal Pictures'],Awards 1 win & 4 nominations total,1 win & 4 nominations total,129 Critic reviews,"""He, he went for a little walk.""","['Dark Fantasy', 'Monster Horror', 'Psychological Horror', 'Supernatural Fantasy', 'Supernatural Horror', 'Fantasy', 'Horror']","['English', 'Arabic', 'French', 'Egyptian (Ancient)']",,,6.9,33530.0,Not Rated,"ancient egypt,scroll,supernatural power,white cat,loss of loved one",https://m.media-amazon.com/images/M/MV5BMjEyNTIzNzcyMV5BMl5BanBnXkFtZTgwOTgwODY2MTE@._V1_.jpg,['Karl Freund'],"['Nina Wilcox Putnam', 'Richard Schayer', 'John L. Balderston']","['Boris Karloff', 'Zita Johann', 'David Manners']",73.0,,Mild,,,Mild,,,,,,,,,,196000.0,1408.0,,,-194592.0,-0.9928163265306122,1.0,4.0,73.0,12.0,1930.0,Thursday,18,7,1,False
7. Vampyr,1932,1h 15m,Approved,7.4,23K,,A drifter obsessed with the supernatural stumbles upon an inn from which a series of strange events lead him to a manor where a severely ill adolescent girl is slowly becoming a vampire.,https://www.imdb.com/title/tt0023649/?ref_=sr_i_7,"['Sheridan Le Fanu', 'Christen Jul', 'Carl Theodor Dreyer']",['Carl Theodor Dreyer'],"['Julian West', 'Maurice Schutz', 'Rena Mandel', 'Sybille Schmitz', 'Jan Hieronimko', 'Henriette Gérard', 'Albert Bras', 'N. Babanini', 'Jane Mora', 'Georges Boidin', 'Kani Kipçak']","['Allan Grey', 'Der Schlossherr (The Lord of the Manor)', 'Gisèle - His Daughter', 'Léone - His Daughter', 'Der Dorfarzt (The Village Doctor)', 'Die alte Frau vom Friedhof (The Old Woman from the Cemetery)', 'Der alte Diener (The Old Servant)', 'Seine Frau (His Wife)', 'Die Krankenschwester (The Nurse)', 'Limping Man', 'Michael']",,,$19,,"August 14, 1934","['Germany', 'France']","['Abbaye de Braye, Braye, Aisne, France (recreated cemetery)']",['Tobis Filmkunst'],Awards 1 win total,,173 Critic reviews,Best vampire movie of the '30s,"['German', 'Dark Fantasy', 'Folk Horror', 'Supernatural Horror', 'Vampire Horror', 'Fantasy', 'Horror']","['German', 'English']",,,7.4,22964.0,Approved,"vampire,gothic horror,doctor,shadow,drifter",https://m.media-amazon.com/images/M/MV5BN2EyOTA1YzYtMDIxNy00YzVmLTk4NTMtODkzZjViOGFhYTI2XkEyXkFqcGc@._V1_.jpg,['Carl Theodor Dreyer'],"['Sheridan Le Fanu', 'Christen Jul', 'Carl Theodor Dreyer']","['Julian West', 'Maurice Schutz', 'Rena Mandel']",75.0,,Mild,,Mild,Mild,,,,,,,,,,,19.0,,,,,,,75.0,8.0,1930.0,Tuesday,11,7,2,False
8. Grand Hotel,1932,1h 52m,Approved,7.3,23K,79.0,A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.,https://www.imdb.com/title/tt0022958/?ref_=sr_i_8,"['Vicki Baum', 'William Absalom Drake', 'Béla Balázs']",['Edmund Goulding'],"['Greta Garbo', 'John Barrymore', 'Joan Crawford', 'Wallace Beery', 'Lionel Barrymore', 'Lewis Stone', 'Jean Hersholt', 'Robert McWade', 'Purnell Pratt', 'Ferdinand Gottschalk', 'Rafaela Ottiano', 'Morgan Wallace', 'Tully Marshall', 'Frank Conroy', 'Murray Kinnell', 'Edwin Maxwell', 'Joan Barclay', 'Max Barwyn']","['Grusinskaya', 'Baron Felix von Geigern', 'Flaemmchen', 'General Director Preysing', 'Otto Kringelein', 'Doctor Otternschlag', 'Senf', 'Meierheim', 'Zinnowitz', 'Pimenov', 'Suzette', 'Chauffeur', 'Gerstenkorn', 'Rohna', 'Schweimann', 'Dr. Waitz', 'Young Girl in Lobby', 'Hotel Guest']","$700,000 (estimated)",,"$1,364",,"September 11, 1932",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']",['Metro-Goldwyn-Mayer (MGM)'],Won 1 Oscar 9 wins & 1 nomination total,9 wins & 1 nomination total,100 Critic reviews,Clash of early '30s acting styles,"['Tragic Romance', 'Drama', 'Romance']","['English', 'Russian']",,,7.3,22825.0,Approved,"hotel,jewel thief,all star cast,bookkeeper,pocketbook",https://m.media-amazon.com/images/M/MV5BMTQxNDc4MDcwNF5BMl5BanBnXkFtZTgwNzY0MjUzMjE@._V1_.jpg,['Edmund Goulding'],"['Vicki Baum', 'William Absalom Drake', 'Béla Balázs']","['Greta Garbo', 'John Barrymore', 'Joan Crawford']",112.0,,Mild,,Mild,Mild,,,,,,,,"['April 12, 1932: (New York City, New York, premiere)', 'August 1932: (Venice Film Festival)']","['April 12, 1932: (New York City, New York, premiere)', 'August 1932: (Venice Film Festival)']",700000.0,1364.0,,,-698636.0,-0.9980514285714286,9.0,1.0,112.0,9.0,1930.0,Sunday,18,3,1,False
9. Trouble in Paradise,1932,1h 23m,Approved,7.9,18K,,"A gentleman thief and a lady pickpocket join forces to con the owner of a perfume manufacturer, but romantic entanglements and jealousies confuse the scheme.",https://www.imdb.com/title/tt0023622/?ref_=sr_i_9,"['Samson Raphaelson', 'Grover Jones', 'Aladár László']",['Ernst Lubitsch'],"['Miriam Hopkins', 'Kay Francis', 'Herbert Marshall', 'Charles Ruggles', 'Edward Everett Horton', 'C. Aubrey Smith', 'Robert Greig', 'Luis Alberni', 'Hooper Atchley', 'Tyler Brooke', 'Marion Byron', 'Louise Carter', 'Gino Corrado', 'George Humbert', 'Perry Ivins', 'Leonid Kinskey', 'Gus Leonard', 'Carl M. Leviness']","['Lily', 'Mariette Colet', 'Gaston Monescu', 'The Major', 'François Filiba', 'Adolph J. Giron', 'Jacques (the Butler)', 'Annoyed Opera Fan', 'Insurance Agent', 'Commercial Singer', 'Maid', 'Woman with Wrong Handbag', 'Venetian', 'Waiter in Venice', 'Radio Commentator', 'Russian Visitor', 'Elderly Servant', 'Party Guest']","$519,706 (estimated)",,"$1,510",,"October 30, 1932",['United States'],"['Paris, France']",['Paramount Pictures'],Awards 6 wins total,,63 Critic reviews,(In times like these it's) Poetry in Motion,"['Romantic Comedy', 'Screwball Comedy', 'Comedy', 'Crime', 'Romance']","['English', 'Italian', 'French', 'Russian', 'Spanish', 'German']",,,7.9,17613.0,Approved,"national film registry,theft,singing,love,love triangle",https://m.media-amazon.com/images/M/MV5BZjI5M2M5YWEtYTU3Yi00ZGRlLWE3OWYtMzJiZTE5N2U1ZTkwXkEyXkFqcGc@._V1_.jpg,['Ernst Lubitsch'],"['Samson Raphaelson', 'Grover Jones', 'Aladár László']","['Miriam Hopkins', 'Kay Francis', 'Herbert Marshall']",83.0,,,,Mild,,,,,,,,,"['October 27, 1932: (Salt Lake City, Utah, premiere)', 'October 28, 1932: (Boston, Massachusetts, premiere)', 'November 5, 1932: (Winnipeg, Manitoba, premiere)', 'November 12, 1932: (Montreal, Quebec, premiere)']","['October 27, 1932: (Salt Lake City, Utah, premiere)', 'October 28, 1932: (Boston, Massachusetts, premiere)', 'November 5, 1932: (Winnipeg, Manitoba, premiere)', 'November 12, 1932: (Montreal, Quebec, premiere)']",519706.0,1510.0,,,-518196.0,-0.9970945111274452,,,83.0,10.0,1930.0,Sunday,18,5,1,False
10. Island of Lost Souls,1932,1h 10m,Approved,7.3,12K,,"A mad doctor conducts ghastly genetic experiments on a remote island in the South Seas, much to the fear and disgust of the shipwrecked sailor who finds himself trapped there.",https://www.imdb.com/title/tt0024188/?ref_=sr_i_10,"['Waldemar Young', 'Philip Wylie', 'H.G. Wells']",['Erle C. Kenton'],"['Charles Laughton', 'Bela Lugosi', 'Richard Arlen', 'Leila Hyams', 'Kathleen Burke', 'Arthur Hohl', 'Stanley Fields', 'Paul Hurst', 'Hans Steinke', 'Tetsu Komai', 'George Irving', 'Jack Bardette', 'Evangelus Berbas', 'Joe Bonomo', 'Buster Brodie', 'Jimmy Dime', 'Harry Ekezian', 'Charles Gemora']","['Dr. Moreau', 'Sayer of the Law', 'Edward Parker', 'Ruth Thomas', 'Lota the Panther Woman', 'Montgomery', 'Captain Davies', 'Donahue', 'Ouran', ""M'ling"", 'The Consul', 'Undetermined Role', 'Undetermined Role', 'Beast', 'Pig Man', 'Seaman', 'Gola', 'Gorilla on Pier']","$300,000 (estimated)",,,,December 1932,['United States'],"['Santa Catalina Island, Channel Islands, California, USA']","['Paramount Pictures', 'RKO Radio Pictures']",Awards 1 win total,,115 Critic reviews,The Island of Dr. Moreau,"['Body Horror', 'Supernatural Horror', 'Horror', 'Sci-Fi']","['English', 'Cantonese']",,,7.3,12349.0,Approved,"man beast,genetic engineering,mad scientist,based on novel,scientist",https://m.media-amazon.com/images/M/MV5BM2ZiMjE3MWEtMGY4Ny00ODRlLTkxOWEtYzdiZDU4ZGRiYzljXkEyXkFqcGc@._V1_.jpg,['Erle C. Kenton'],"['Waldemar Young', 'Philip Wylie', 'H.G. Wells']","['Charles Laughton', 'Bela Lugosi', 'Richard Arlen']",70.0,,Mild,,Mild,Mild,,,,,,,,"['December 26, 1932: (Scranton, PA)', 'January 12, 1933: (New York City, New York)', 'February 3, 1933: (Calgary, Alberta, premiere)', 'February 4, 1933: (Montreal, Quebec, premiere)']","['December 26, 1932: (Scranton, PA)', 'January 12, 1933: (New York City, New York)', 'February 3, 1933: (Calgary, Alberta, premiere)', 'February 4, 1933: (Montreal, Quebec, premiere)']",300000.0,,,,,,,,70.0,12.0,1930.0,,18,4,1,False
