Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,directors,stars,characters,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,awards_wins_nominations_total,critic_reviews_count,user_reviews_count,genres,Languages,similar_movies,similar_movies_links,json_ld_rating,json_ld_vote_count,json_ld_content_rating,json_ld_keywords,json_ld_poster_url,json_ld_directors,json_ld_writers,json_ld_actors,json_ld_runtime_minutes,sex_nudity_severity,violence_gore_severity,profanity_severity,alcohol_drugs_smoking_severity,frightening_intense_scenes_severity,producers,composer,cinematographer,editor,casting_director,production_designer,costume_designer,release_dates_by_country,aka_titles,budget_numeric,grossWorldWWide_numeric,gross_US_Canada_numeric,opening_weekend_numeric,profit,roi,total_wins,total_nominations,runtime_minutes,release_month,release_decade,release_weekday,cast_size,genre_count,country_count,rating_mismatch
1. Il trittico dell'amore,1920,,,,,,,https://www.imdb.com/title/tt0925301/?ref_=sr_i_1,,['Ugo Falena'],"['Mimi Aylmer', 'Lorenzo Benini', 'Rina Calabria', 'Claudio Caparelli', 'Silvia Malinverni', 'Ignazio Mascalchi', 'Marion May', 'Maria Melato', 'Pietro Pezzullo', 'Filippo Ricci', 'Eduardo Scarpetta']","[None, None, None, None, None, None, None, None, None, None, None]",,"$2,235","$80,374","$80,374",April 1920,['Italy'],,['Bernini Film'],,,,,[],"['None', 'Italian']",,,,,,,,['Ugo Falena'],[],"['Mimi Aylmer', 'Lorenzo Benini', 'Rina Calabria']",,,,,,,,,,,,,,,,,80374.0,80374.0,2235.0,,,,,,4.0,1920.0,,11,0,1,
2. The Cabinet of Dr. Caligari,1920,1h 7m,Not Rated,8.0,77K,,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",https://www.imdb.com/title/tt0010323/?ref_=sr_i_2,"['Carl Mayer', 'Hans Janowitz']",['Robert Wiene'],"['Werner Krauss', 'Conrad Veidt', 'Friedrich Feher', 'Lil Dagover', 'Hans Heinrich von Twardowski', 'Rudolf Lettinger', 'Rudolf Klein-Rogge', 'Hans Lanser-Ludolff', 'Henri Peters-Arnolds', 'Ludwig Rex', 'Elsa Wagner']","['Dr. Caligari', 'Cesare', 'Franzis', 'Jane Olsen', 'Alan', 'Dr. Olsen', 'Ein Verbrecher', 'Ein Alter Mann', 'Ein Junger Arzt', 'Ein Mörder', 'Die Wirtin']","$18,000 (estimated)",,"$9,297","$8,811","February 27, 1920",['Germany'],"['Lixie-Atelier, Weißensee, Berlin, Germany (Studio)']",['Decla-Bioscop AG'],Awards 2 wins & 1 nomination total,2 wins & 1 nomination total,215 Critic reviews,Expressionism At Its Finest,"['Psychological Horror', 'Psychological Thriller', 'Quest', 'Suspense Mystery', 'Tragedy', 'Whodunnit', 'Horror', 'Mystery', 'Thriller']","['None', 'German']",,,8.0,76568.0,Not Rated,"sleepwalking,mind control,serial murder,mental patient,german expressionism",https://m.media-amazon.com/images/M/MV5BMTY1NzIxOTcxM15BMl5BanBnXkFtZTgwMjY0ODgwNzE@._V1_.jpg,['Robert Wiene'],"['Carl Mayer', 'Hans Janowitz']","['Werner Krauss', 'Conrad Veidt', 'Friedrich Feher']",67.0,,Mild,,,Moderate,"['Sergio Capelo', 'Rafa Ordóñez Arrieta', 'Pili Paneque']",,,,,,,"['February 26, 1920: (Berlin, premiere)']","['February 26, 1920: (Berlin, premiere)']",18000.0,9297.0,8811.0,,-8703.0,-0.4835,2.0,1.0,67.0,2.0,1920.0,Friday,11,9,1,False
3. The Golem,1920,1h 31m,Unrated,7.2,9.6K,,"In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.",https://www.imdb.com/title/tt0011237/?ref_=sr_i_3,"['Paul Wegener', 'Henrik Galeen']","['Carl Boese', 'Paul Wegener']","['Paul Wegener', 'Albert Steinrück', 'Ernst Deutsch', 'Lyda Salmonova', 'Hans Stürm', 'Max Kronert', 'Otto Gebühr', 'Lothar Müthel', 'Greta Schröder', 'Carl Ebert', 'Fritz Feld', 'Loni Nest', 'Ursula Nest', 'Dore Paetzold', 'Märte Rassow']","['Ein seltsames Geschöpf, genannt der Golem', 'Der hohe Rabbi Löw', 'Des Rabbi Famulus', 'Mirjam, des Rabbi Tochter', 'Der Rabbi Jehuda, der Älteste der Gemeinde', 'Der Tempeldiener', 'Der Kaiser', 'Der Junker Florian', 'Das Mägdelein mit der Rose', 'Temple Servant', 'Jester', 'Ein kleines Mädchen', 'Little Girl', 'Des Kaisers Kebse', 'Kind']",,,,,"June 19, 1921",['Germany'],"['Berliner Union-Film, Oberlandstraße 26-35, Tempelhof, Berlin, Germany (Studio)']",['Projektions-AG Union (PAGU)'],Awards 1 win & 1 nomination total,1 win & 1 nomination total,63 Critic reviews,"A very good early horror film, & I wish reviewers would be more careful","['Folk Horror', 'Fantasy', 'Horror']","['None', 'German']",,,7.2,9585.0,Unrated,"monster,prague bohemia,jewish culture,prague jewish quarter,creature",https://m.media-amazon.com/images/M/MV5BMTQ5MTQxMzkxNV5BMl5BanBnXkFtZTgwNTc4MjIyMjE@._V1_.jpg,"['Carl Boese', 'Paul Wegener']","['Paul Wegener', 'Henrik Galeen']","['Paul Wegener', 'Albert Steinrück', 'Ernst Deutsch']",91.0,,Mild,,Mild,Mild,,,,,,,,"['October 29, 1920: (premiere)', 'March 2, 1922: (Thessaloniki)']","['October 29, 1920: (premiere)', 'March 2, 1922: (Thessaloniki)']",,,,,,,1.0,1.0,91.0,6.0,1920.0,Sunday,15,3,1,False
4. The Mark of Zorro,1920,1h 19m,Passed,7.0,3.1K,,"A seemingly idiotic fop is really the courageous vigilante Zorro, who seeks to protect the oppressed.",https://www.imdb.com/title/tt0011439/?ref_=sr_i_4,"['Johnston McCulley', 'Douglas Fairbanks', 'Eugene Miller']",['Fred Niblo'],"['Douglas Fairbanks', 'Marguerite De La Motte', 'Noah Beery', 'Charles Hill Mailes', 'Claire McDowell', 'Robert McKim', 'George Periolat', 'Walt Whitman', 'Sidney De Gray', 'Tote Du Crow', 'Snitz Edwards', 'Noah Beery Jr.', 'Charles Belcher', 'Milton Berle', 'Manuel Caballero', 'Gilbert Clayton', 'John George', 'Augustina López']","['Don Diego Vega', 'Lolita Pulido', 'Sgt. Pedro Gonzales', 'Don Carlos Pulido', 'Doña Catalina Pulido', 'Captain Juan Ramon', 'Governor Alvarado', 'Fray Felipe', 'Don Alejandro', 'Bernardo', 'Short Innkeeper', 'Seven Year Old Boy', 'Undetermined Minor Role', 'Boy', 'Villager', ""Soldier with 'Z' Carved on His Face"", 'Prisoner in Jail', 'Woman at Fray Felipes Trial']",,,,,"December 5, 1920",['United States'],"['San Fernando Valley, Los Angeles, California, USA (exteriors: set resmbling 1840s Los Angeles)']",['Douglas Fairbanks Pictures'],Awards 1 win total,,29 Critic reviews,The Robin Hood of Old California,"['Swashbuckler', 'Adventure', 'Drama', 'Romance', 'Western']","['None', 'English']",,,7.0,3107.0,Passed,"national film registry,california,zorro character,disguise,swashbuckler",https://m.media-amazon.com/images/M/MV5BYWViNWZjMTMtNDg1Yi00NWY2LTljZDQtYjA3NmY5YTU1YTIzXkEyXkFqcGc@._V1_.jpg,['Fred Niblo'],"['Johnston McCulley', 'Douglas Fairbanks', 'Eugene Miller']","['Douglas Fairbanks', 'Marguerite De La Motte', 'Noah Beery']",79.0,,,,,,,,,,,,,"['November 28, 1920: (New York City, New York)', 'December 2, 1920: (Los Angeles, CA)', 'November 9, 1921: (Prague)']","['November 28, 1920: (New York City, New York)', 'December 2, 1920: (Los Angeles, CA)', 'November 9, 1921: (Prague)']",,,,,,,,,79.0,12.0,1920.0,Sunday,18,5,1,False
5. Below the Surface,1920,1h,,6.3,85,,"A widely respected deep-sea diver is approached by a ring of con artists who want him to be the front man for a phony scheme to recover gold from sunken ships. When he refuses, they send a sexy young woman to seduce his son, and then blackmail the father into going along with their scheme.",https://www.imdb.com/title/tt0010987/?ref_=sr_i_5,"['E. Magnus Ingleton', 'Luther Reed']",['Irvin Willat'],"['Hobart Bosworth', 'Grace Darmond', 'Lloyd Hughes', 'George Webb', 'Gladys George', 'J.P. Lockney', 'Edith Yorke', 'George Clair']","['Martin Flint', 'Edna Gordon', 'Paul Flint', 'James Arnold', 'Alice', 'Dave', 'Martha Flint', 'Geb Quail']",,,,,June 1920,['United States'],"['Santa Catalina Island, Channel Islands, California, USA (underwater re-shoots)']",['Thomas H. Ince Corporation'],,,2 Critic reviews,Decent Irvin Willat meller; hopefully you watch a good print,"['Crime', 'Drama']","['None', 'English']",,,6.3,85.0,,"blackmail,diving,shipwreck,boston massachusetts,maine",https://m.media-amazon.com/images/M/MV5BNTQxM2U5ODktYzYyOC00YjZiLWIzMWUtNDQ2NTkyNjJmZmVkXkEyXkFqcGc@._V1_.jpg,['Irvin Willat'],"['E. Magnus Ingleton', 'Luther Reed']","['Hobart Bosworth', 'Grace Darmond', 'Lloyd Hughes']",60.0,,,,,,,,,,,,,"['May 9, 1920: (Los Angeles, CA)']","['May 9, 1920: (Los Angeles, CA)']",,,,,,,,,60.0,6.0,1920.0,,8,2,1,False
6. Dr. Jekyll and Mr. Hyde,1920,1h 9m,Unrated,6.9,6.7K,,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",https://www.imdb.com/title/tt0011130/?ref_=sr_i_6,"['Robert Louis Stevenson', 'Clara Beranger', 'Thomas Russell Sullivan']",['John S. Robertson'],"['John Barrymore', 'Martha Mansfield', 'Brandon Hurst', 'Charles Lane', 'Cecil Clovelly', 'Nita Naldi', 'Louis Wolheim', 'Alma Aiken', 'J. Malcolm Dunn', 'Ferdinand Gottschalk', 'Julia Hurley', 'Jack McHugh', 'Georgie Drew Mendum', 'Blanche Ring', 'May Robson', 'George Stevens', 'Edgard Varèse']","['Dr. Henry Jekyll', 'Millicent Carewe', 'Sir George Carewe', 'Dr. Lanyon', 'Edward Enfield', 'Miss Gina', 'Music Hall Proprietor', 'Extra', 'John Utterson', 'Old Man at table in music hall', ""Hyde's Landlady with Lamp"", 'Street Kid - Raises Fist to Mr. Hyde', 'Patron in music hall', 'Woman at table with old man in music hall', 'Old woman outside of music hall', ""Poole - Jekyll's Butler"", 'Policeman']",,,,,"September 28, 1920",['United States'],"['Tilford Studio - 344 West 44th Street, Manhattan, New York City, New York, USA (Studio)']",['Paramount Pictures'],,,79 Critic reviews,effective silent chiller,"['Drama', 'Horror', 'Sci-Fi']","['None', 'English']",,,6.9,6704.0,Unrated,"self experimentation,mutation,physical deterioration,mental deterioration,moral deterioration",https://m.media-amazon.com/images/M/MV5BYjYzZGQwMGUtZDkyMC00ODUwLTljYzMtOGQ3Njc1M2VlZThjXkEyXkFqcGc@._V1_.jpg,['John S. Robertson'],"['Robert Louis Stevenson', 'Clara Beranger', 'Thomas Russell Sullivan']","['John Barrymore', 'Martha Mansfield', 'Brandon Hurst']",69.0,,Mild,,Mild,Mild,,,,,,,,"['March 18, 1920: (New York City, New York)', 'April 12, 1920: (Los Angeles, California)']","['March 18, 1920: (New York City, New York)', 'April 12, 1920: (Los Angeles, California)']",,,,,,,,,69.0,9.0,1920.0,Tuesday,17,3,1,False
7. One Arabian Night,1920,1h 25m,Not Rated,6.0,908,,"The favorite slave girl of a tyrannical sheik falls in love with a cloth merchant. Meanwhile, a hunchback clown suffers unrequited love for a traveling dancer who wants to join the harem.",https://www.imdb.com/title/tt0011742/?ref_=sr_i_7,"['Friedrich Freksa', 'Hanns Kräly', 'Ernst Lubitsch']",['Ernst Lubitsch'],"['Ernst Lubitsch', 'Pola Negri', 'Paul Wegener', 'Jenny Hasselqvist', 'Aud Egede-Nissen', 'Harry Liedtke', 'Carl Clewing', 'Margarete Kupfer', 'Jakob Tiedtke', 'Max Kronert', 'Paul Biensfeldt', 'Paul Graetz']","['Yeggar - the Hunchback', 'Yannaia - a Dancer', 'Der alte Scheich', 'Sumurun', 'Haidee', 'Nur-Al Din', 'Der junge Scheich', 'Alte Frau', 'Head Eunuch', 'Muffti, 1st Servant of Nur-al-Djin', 'Achmed, the Slave Trader', 'Pufti, 2nd Servant of Nur-al-Djin']",,,,,"September 25, 1921",['Germany'],,['Projektions-AG Union (PAGU)'],Awards 1 win total,,16 Critic reviews,One Arabian Night Tale,"['Adventure', 'Drama', 'Romance']","['None', 'German']",,,6.0,908.0,Not Rated,"murdered with a sword,woman in jeopardy,character name as title,exotica,stabbed with a knife",https://m.media-amazon.com/images/M/MV5BMTAyNjE2Nzg3NTZeQTJeQWpwZ15BbWU4MDI4NTcxNDIx._V1_.jpg,['Ernst Lubitsch'],"['Friedrich Freksa', 'Hanns Kräly', 'Ernst Lubitsch']","['Ernst Lubitsch', 'Pola Negri', 'Paul Wegener']",85.0,,,,,,,,,,,,,"['September 1, 1920: (premiere)']","['September 1, 1920: (premiere)']",,,,,,,,,85.0,9.0,1920.0,Sunday,12,3,1,False
8. Way Down East,1920,2h 25m,Passed,7.3,6.3K,,"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",https://www.imdb.com/title/tt0011841/?ref_=sr_i_8,"['Lottie Blair Parker', 'William A. Brady', 'Joseph R. Grismer']",['D.W. Griffith'],"['Lillian Gish', 'Richard Barthelmess', 'Mrs. David Landau', 'Lowell Sherman', 'Burr McIntosh', 'Josephine Bernard', 'Mrs. Morgan Belmont', 'Patricia Fruen', 'Florence Short', 'Kate Bruce', 'Vivia Ogden', 'Porter Strong', 'George Neville', 'Edgar Nelson', 'Mary Hay', 'Creighton Hale', 'Emily Fitzroy', 'Carol Dempster']","['Anna Moore', 'David Bartlett', ""Anna Moore's Mother"", 'Lennox Sanderson', 'Squire Bartlett', 'Mrs. Emma Tremont', 'Diana Tremont', ""Diana's Sister"", 'The Eccentric Aunt', 'Mrs. Bartlett', 'Martha Perkins', 'Seth Holcomb', 'Constable Rube Whipple', 'Hi Holler', ""Kate Brewster - the Squire's Niece"", 'Professor Sterling', 'Maria Poole - Landlady', 'Barn Dancer']","$700,000 (estimated)",,,,"September 3, 1920",['United States'],"['White River Junction, Vermont, USA']",['D.W. Griffith Productions'],,,40 Critic reviews,Another Griffith Epic,"['Costume Drama', 'Dark Romance', 'Period Drama', 'Romantic Epic', 'Drama', 'Romance']","['None', 'English']",,,7.3,6335.0,Passed,"blockbuster,domestic drama,snow adventure,chase sequence,period drama",https://m.media-amazon.com/images/M/MV5BMjI5OTI3NTQ4NV5BMl5BanBnXkFtZTgwNDY3NTAwMjE@._V1_.jpg,['D.W. Griffith'],"['Lottie Blair Parker', 'William A. Brady', 'Joseph R. Grismer']","['Lillian Gish', 'Richard Barthelmess', 'Mrs. David Landau']",145.0,,,,Mild,Mild,,,,,,,,"['August 26, 1920: (Kingston, New York, premiere)', 'September 5, 1921: (London)']","['August 26, 1920: (Kingston, New York, premiere)', 'September 5, 1921: (London)']",700000.0,,,,,,,,145.0,9.0,1920.0,Friday,18,6,1,False
9. Within Our Gates,1920,1h 19m,Not Rated,6.4,4.1K,,"Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",https://www.imdb.com/title/tt0011870/?ref_=sr_i_9,['Oscar Micheaux'],['Oscar Micheaux'],"['Evelyn Preer', 'Flo Clements', 'James D. Ruffin', 'Jack Chenault', 'William Smith', 'Charles D. Lucas', 'Bernice Ladd', 'Mrs. Evelyn', 'William Starks', 'Mattie Edwards', 'Ralph Johnson', 'E.G. Tatum', 'Grant Edwards', 'Grant Gorman', 'Leigh Whipper', 'Jimmie Cook', 'S.T. Jacks']","['Sylvia Landry', 'Alma Prichard', ""Conrad Drebert - Sylvia's Fiancé"", ""Larry Prichard - Alma's Stepbrother"", 'Philip Gentry - A Detective', 'Dr. V. Vivian', 'Mrs. Geraldine Stratton', 'Mrs. Elena Warwick', 'Jasper Landry', ""Jasper's Wife"", 'Philip Gridlestone', ""Efram - Gridlestone's Servant"", 'Emil Landry', 'Armand Gridlestone', None, None, 'Rev. Wilson Jacobs']",,,,,"January 12, 1920",['United States'],"['Fort Lee, New Jersey, USA']",['Micheaux Book & Film Company'],Awards 2 wins & 1 nomination total,2 wins & 1 nomination total,27 Critic reviews,Historically important look at the African American experience,"['Dark Romance', 'Feel-Good Romance', 'Political Drama', 'Psychological Drama', 'Drama', 'Romance']",['None'],,,6.4,4089.0,Not Rated,"national film registry,school,race relations,african american,racism",https://m.media-amazon.com/images/M/MV5BNGM3OWYxMWYtZGM4My00Mzg2LWE5NzQtYTBkYjZiNGMxNTEzXkEyXkFqcGc@._V1_.jpg,['Oscar Micheaux'],['Oscar Micheaux'],"['Evelyn Preer', 'Flo Clements', 'James D. Ruffin']",79.0,,,,,,,,,,,,,"['June 1920: (edited version)', 'March 10, 2007: (Mar del Plata Film Festival)', 'June 4, 2016: (San Francisco Silent Film Festival)', 'February 27, 2018: (Cinemateket)']","['June 1920: (edited version)', 'March 10, 2007: (Mar del Plata Film Festival)', 'June 4, 2016: (San Francisco Silent Film Festival)', 'February 27, 2018: (Cinemateket)']",,,,,,,2.0,1.0,79.0,1.0,1920.0,Monday,17,6,1,False
10. The Penalty,1920,1h 30m,Passed,7.3,2.9K,,A deformed criminal mastermind plans to loot the city of San Francisco as well as revenge himself on the doctor who mistakenly amputated his legs.,https://www.imdb.com/title/tt0011565/?ref_=sr_i_10,"['Gouverneur Morris', 'Charles Kenyon', 'Philip Lonergan']",['Wallace Worsley'],"['Charles Clary', 'Doris Pawn', 'Jim Mason', 'Lon Chaney', 'Milton Ross', 'Ethel Grey Terry', 'Kenneth Harlan', 'Claire Adams', 'Montgomery Carlyle', 'Michael Dark', 'Cesare Gravina', 'Lee Phelps', 'Madlaine Traverse', 'Edouard Trebaol', 'Clarence Wilson']","['Dr. Ferris', 'Barbary Nell', 'Frisco Pete', 'Blizzard', 'Lichtenstein', 'Rose', 'Dr. Wilmot Allen', 'Barbara Ferris', 'A Crook', 'Man', 'Art Teacher', 'Policeman', 'Woman', 'Bubbles', 'A Crook']","$88,868 (estimated)",,,,"August 8, 1920",['United States'],"['Ferry Building, San Francisco, California, USA']","['Eminent Authors Pictures Inc.', 'Goldwyn Pictures Corporation']",,,40 Critic reviews,A Triumph For Mr. Chaney,"['Crime', 'Drama', 'Horror', 'Thriller']","['None', 'English']",,,7.3,2862.0,Passed,"criminal,city,murderer,conspiracy theorist,revenge",https://m.media-amazon.com/images/M/MV5BNzc3MGY2YjctZDRkNC00YzlhLWE4ZmYtNmU4M2U0ZTA5NDg2XkEyXkFqcGc@._V1_.jpg,['Wallace Worsley'],"['Gouverneur Morris', 'Charles Kenyon', 'Philip Lonergan']","['Charles Clary', 'Doris Pawn', 'Jim Mason']",90.0,Mild,Mild,,,Moderate,,,,,,,,"['July 30, 1920: (Redondo Beach, CA, invitational preview)', 'August 8, 1920: (Detroit, Michigan)']","['July 30, 1920: (Redondo Beach, CA, invitational preview)', 'August 8, 1920: (Detroit, Michigan)']",88868.0,,,,,,,,90.0,8.0,1920.0,Sunday,15,4,1,False
