link,writers,directors,stars,characters,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,awards_wins_nominations_total,critic_reviews_count,user_reviews_count,genres,Languages,similar_movies,similar_movies_links,json_ld_rating,json_ld_vote_count,json_ld_content_rating,json_ld_keywords,json_ld_poster_url,json_ld_directors,json_ld_writers,json_ld_actors,json_ld_runtime_minutes,sex_nudity_severity,violence_gore_severity,profanity_severity,alcohol_drugs_smoking_severity,frightening_intense_scenes_severity,producers,composer,cinematographer,editor,casting_director,production_designer,costume_designer,release_dates_by_country,aka_titles
https://www.imdb.com/title/tt0018737/?ref_=sr_i_1,"['Frank Wedekind', 'Ladislaus Vajda', 'Joseph Fleisler']",['Georg Wilhelm Pabst'],"['Louise Brooks', 'Fritz Kortner', 'Francis Lederer', 'Carl Goetz', 'Krafft-Raschig', 'Alice Roberts', ""Daisy D'Ora"", 'Gustav Diessl', 'Michael von Newlinsky', 'Sig Arno', 'Karl Etlinger']","['Lulu', 'Dr. Ludwig Schön', 'Alwa Schön', 'Schigolch', 'Rodrigo Quast', 'Gräfin Geschwitz', ""Charlotte Marie Adelaide v. Zarnikow - braut Dr. Schöns - Dr. Schön's Bride"", 'Jack the Ripper', 'Marquis Casti-Piani', 'Der inspizient - the Stage Manager', 'Verteidiger']",,"$9,950","$62,971","$53,485","February 22, 1930",['Germany'],"['Nero-Film Studio, Berlin, Germany (Studio)']",['Nero-Film AG'],Awards 1 nomination total,,75 Critic reviews,One of the best silent films I've seen,"['Tragedy', 'Tragic Romance', 'Crime', 'Drama', 'Romance']","['None', 'German']",,,7.7,12982.0,Not Rated,"femme fatale,german expressionism,expressionism,lust,murder trial",https://m.media-amazon.com/images/M/MV5BZTQ2Yzc3MjUtNTdlNi00YzBmLTgxMjAtNzQ2NjEyODE3YTRlXkEyXkFqcGc@._V1_.jpg,['Georg Wilhelm Pabst'],"['Frank Wedekind', 'Ladislaus Vajda', 'Joseph Fleisler']","['Louise Brooks', 'Fritz Kortner', 'Francis Lederer']",109.0,Mild,Mild,None,Mild,Mild,,,,,,,,"['January 30, 1929: (Berlin, premiere)', 'September 27, 1929: (Vienna)', 'October 4, 1929: (Antwerp)', 'December 1, 1929: (New York City, New York)']","['January 30, 1929: (Berlin, premiere)', 'September 27, 1929: (Vienna)', 'October 4, 1929: (Antwerp)', 'December 1, 1929: (New York City, New York)']"
https://www.imdb.com/title/tt0020298/?ref_=sr_i_2,"['Erich von Stroheim', 'Marian Ainslee', 'Benjamin Glazer']","['Erich von Stroheim', 'Richard Boleslawski']","['Gloria Swanson', 'Walter Byron', 'Seena Owen', 'Sylvia Ashton', 'Wilson Benge', 'Sidney Bracey', 'Rae Daggett', 'Robert Frazier', 'Florence Gibson', 'Madge Hunt', 'Tully Marshall', 'Ann Morgan', 'Madame Sul-Te-Wan', 'Lucille Van Lent', 'Wilhelm von Brincken', 'Gordon Westcott']","['Kitty Kelly', 'Prince Wolfram', 'Queen Regina V', ""Kelly's Aunt"", ""Prince Wolfram's Valet"", ""Prince Wolfram's Lackey"", 'Coughdrops', 'Catholic Priest', ""Kelly's Aunt"", 'Mother Superior', 'Jan Vryheid', 'Maid Escorting Kelly to Altar', ""Kali Sana - Aunt's Cook"", ""Prince Wolfram's Maid"", ""Prince Wolfram's Adjutant"", 'Lackey']","$800,000 (estimated)","$6,037","$50,221","$50,221","October 18, 1932",['United States'],"['RKO-Pathé Studios - 9336 W. Washington Blvd., Culver City, California, USA (Studio)']",['Gloria Swanson Pictures'],Awards 1 win total,,23 Critic reviews,Of More Historic Than Artistic Significance,"['Drama', 'Romance']",['English'],,,7.1,3572.0,Passed,"character name as title,nickname as title,surname in title,palace,captain of the guards",https://m.media-amazon.com/images/M/MV5BMDI4YzJjMmItZDJiYy00ZDkzLTg1MjMtOTRiNjYwYjRjY2E2XkEyXkFqcGc@._V1_.jpg,"['Erich von Stroheim', 'Richard Boleslawski']","['Erich von Stroheim', 'Marian Ainslee', 'Benjamin Glazer']","['Gloria Swanson', 'Walter Byron', 'Seena Owen']",101.0,,,,,,,,,,,,,"['1929: (limited)', 'November 11, 1932: (Paris)', 'August 11, 1933: (Brussels)', 'October 15, 1956: (re-release)']","['1929: (limited)', 'November 11, 1932: (Paris)', 'August 11, 1933: (Brussels)', 'October 15, 1956: (re-release)']"
https://www.imdb.com/title/tt0019760/?ref_=sr_i_3,['Dziga Vertov'],['Dziga Vertov'],"['Mikhail Kaufman', 'Elizaveta Svilova']","['Self - The Cameraman', 'Self - Woman editing film']",,,"$38,007",,"May 12, 1929",['Soviet Union'],"['Kyiv, Ukraine']",['Vseukrainske Foto Kino Upravlinnia (VUFKU)'],Awards 1 win & 1 nomination total,1 win & 1 nomination total,68 Critic reviews,"A Little Perspective, Please","['History Documentary', 'Travel Documentary', 'Documentary']",['None'],,,8.3,30548.0,Not Rated,"experimental film,avant garde,soviet union,city symphony,bolshoi theater",https://m.media-amazon.com/images/M/MV5BMTcyOTk0MDY2OF5BMl5BanBnXkFtZTgwNzYyMTM2MTE@._V1_.jpg,['Dziga Vertov'],['Dziga Vertov'],"['Mikhail Kaufman', 'Elizaveta Svilova']",68.0,Moderate,Mild,None,Mild,Mild,,,,,,,,"['January 8, 1929: (Kyiv premiere)', 'April 9, 1929: (Moscow premiere)', 'July 1929: (limited)', 'July 1929: (Paris, limited)']","['January 8, 1929: (Kyiv premiere)', 'April 9, 1929: (Moscow premiere)', 'July 1929: (limited)', 'July 1929: (Paris, limited)']"
https://www.imdb.com/title/tt0019729/?ref_=sr_i_4,"['Edmund Goulding', 'Norman Houston', 'James Gleason']",['Harry Beaumont'],"['Bessie Love', 'Anita Page', 'Charles King', 'Eddie Kane', 'J. Emmett Beck', 'Jed Prouty', 'Kenneth Thomson', 'The Angeles Twins', 'Betty Arthur', 'Nacio Herb Brown', 'James Burroughs', 'Eddie Bush', 'Ray Cooke', 'Dorothy Coonan Wellman', 'Drew Demorest', 'Edward Dillon', 'Mary Doran', 'Arthur Freed']","[""Harriet 'Hank' Mahoney"", 'Queenie Mahoney', 'Eddie Kearns', 'Francis Zanfield', 'Babe Hatrick', 'Uncle Jed', 'Jacques Warriner', 'Chorus Girls', 'Chorus Dancer', 'Pianist', 'Singer', 'Quartet Guitarist and Singer', 'Bellhop', 'Chorus Girl', 'Turpe - Costumer', 'Dillon - Stage Manager', 'Flo', 'Bystander in Rehearsal Room']","$379,000 (estimated)",,$213,,"June 6, 1929",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']",['Metro-Goldwyn-Mayer (MGM)'],Won 1 Oscar 5 wins & 2 nominations total,5 wins & 2 nominations total,47 Critic reviews,Well I liked it!,"['Classic Musical', 'Showbiz Drama', 'Drama', 'Musical', 'Romance']",['English'],,,5.5,9127.0,Passed,"sister in love with sister&apos;s fiance,romantic rivalry,putting on a show,uncle niece relationship,unrequited love",https://m.media-amazon.com/images/M/MV5BOWFjYTA2ZWUtOGNhNC00MjQ0LWFjYmItZTU0ZTdhNDA2OWNjXkEyXkFqcGc@._V1_.jpg,['Harry Beaumont'],"['Edmund Goulding', 'Norman Houston', 'James Gleason']","['Bessie Love', 'Anita Page', 'Charles King']",100.0,Mild,None,None,None,None,,['Sarah Y. Mason'],,,,,,"['February 1, 1929: (Los Angeles, California, premiere)', 'February 8, 1929: (New York City, New York)', 'March 30, 1929: (Toronto, Ontario, premiere)']","['February 1, 1929: (Los Angeles, California, premiere)', 'February 8, 1929: (New York City, New York)', 'March 30, 1929: (Toronto, Ontario, premiere)']"
https://www.imdb.com/title/tt0020475/?ref_=sr_i_5,"['Margarete Böhme', 'Rudolf Leonhardt']",['Georg Wilhelm Pabst'],"['Louise Brooks', 'Josef Rovenský', 'Fritz Rasp', 'Vera Pawlowa', 'Franziska Kinz', 'Arnold Korff', 'André Roanne', 'Andrews Engelmann', 'Valeska Gert', 'Edith Meinhard', 'Kurt Gerron', 'Sig Arno', 'Pierre Braunberger', 'Hans Casparius', 'Jaro Fürth', 'Hedy Krilla', 'Jean Renoir', 'Sybille Schmitz']","['Thymian Henning', 'Apotheker Robert Henning', 'Provisor Meinert', 'Tante Frieda', 'Meta', 'Alter Graf Osdorff', 'Junger Graf Nicolas Osdorff', 'Leiter der Erziehungsansalt', 'Leiterin der Erziehungsansalt', 'Erika', 'Dr. Vitalis', 'Bordellgast', 'Bargast', 'Wurstmaxe', 'Notar Schutz', None, 'Bargast', 'Elisabeth']",,,,,1930,['Germany'],"['Swinoujscie, Zachodniopomorskie, Poland (seaside resort)']","['Pabst-Film', 'Hom-AG für Filmfabrikation']",,,43 Critic reviews,Feels unnervingly modern,['Drama'],"['None', 'German']",,,7.8,5222.0,Not Rated,"girls&apos; reformatory,pregnancy,suicide,brothel,father daughter estrangement",https://m.media-amazon.com/images/M/MV5BMjMyMzg5Njk4Nl5BMl5BanBnXkFtZTgwOTkzOTA5MTE@._V1_.jpg,['Georg Wilhelm Pabst'],"['Margarete Böhme', 'Rudolf Leonhardt']","['Louise Brooks', 'Josef Rovenský', 'Fritz Rasp']",79.0,Mild,Mild,None,Mild,Mild,,,,,,,,"['September 27, 1929: (Vienna, premiere)', 'October 15, 1929: (premiere)', 'November 7, 1929: (Belgrade, premiere)']","['September 27, 1929: (Vienna, premiere)', 'October 15, 1929: (premiere)', 'November 7, 1929: (Belgrade, premiere)']"
https://www.imdb.com/title/tt0020585/?ref_=sr_i_6,"['Paul Perez', 'Carey Wilson']",['William A. Seiter'],"['Colleen Moore', 'Neil Hamilton', 'Bodil Rosing', 'John St. Polis', 'Edward Martindel', 'Eddie Clayton', 'Lincoln Stedman', 'Louis Natheaux', 'Collette Merton', 'Dixie Gay', 'Mischa Auer', 'Bobby Burns Berman', 'Phyllis Crane', 'Andy Devine', 'Jean Harlow', 'Phil Harris', 'Earl McCarthy', ""Jack O'Shea""]","['Pert Kelly', 'Winthrop Peabody Jr.', 'Ma Kelly', 'Pa Kelly', 'Winthrop Peabody Sr.', 'Tom', 'Jerry', 'Jimmy Alexander', 'Julie', 'Susie', 'Man Dancing at The Boiler', 'Night Club Show Host', 'Salesgirl', 'Young Man at The Boiler', ""Blonde on Rooftop Bench at Junior's Second Party"", 'Drummer in Band at The Boiler', 'Party Guest', 'Man at Dance Contest']",,,,,"May 23, 1929",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['First National Pictures'],Awards 1 win total,,19 Critic reviews,An unexpectedly modern film which was believed to be lost,"['Comedy', 'Drama', 'Musical', 'Romance']",['English'],,,7.2,649.0,TV-G,"department store owner,jazz music,penthouse party,insinuation,rich man loves poor girl",https://m.media-amazon.com/images/M/MV5BNjIyMzBmNDEtN2RkMS00YWIyLThjM2EtNWExNjllOGJhMTQ5XkEyXkFqcGc@._V1_.jpg,['William A. Seiter'],"['Paul Perez', 'Carey Wilson']","['Colleen Moore', 'Neil Hamilton', 'Bodil Rosing']",84.0,Mild,None,None,Mild,None,,,,,,,,"['February 28, 1929: (silent version)', 'March 12, 1929: (sound version)', 'March 23, 1929: (Belgrade, premiere)']","['February 28, 1929: (silent version)', 'March 12, 1929: (sound version)', 'March 23, 1929: (Belgrade, premiere)']"
https://www.imdb.com/title/tt0020025/?ref_=sr_i_7,"['Benn W. Levy', ""Liam O'Flaherty"", 'Rolf E. Vanloo']",['Arthur Robison'],"['Lya De Putti', 'Lars Hanson', 'Warwick Ward', 'Carl Harbord', 'Dennis Wyndham', 'Craighall Sherry', 'Daisy Campbell', 'Janice Adair', 'Johnny Butt', 'Dorothy Green', 'Ray Milland', 'Ellen Pollock', 'Harry Terry']","['Katie Fox', 'Gypo Nolan', 'Dan Gallagher', 'Francis McPhillip', 'Murphy', 'Mulholland', 'Mrs. McPhillip', 'Bessie', 'Publican', None, 'Sharpshooter', 'Prostitute', ""Gallagher's Henchman""]",,,,,"March 17, 1930",['United Kingdom'],"['Elstree Studios, Borehamwood, Hertfordshire, England, UK (Studio, destroyed during World War II and later rebuilt)']",['British International Pictures (BIP)'],,,4 Critic reviews,"Like ""The Jazz Singer"", it's a hybrid film.",['Drama'],['English'],,,7.2,343.0,,"friend,man,based on play",https://m.media-amazon.com/images/M/MV5BODE3MDYyMDEtMzU4Ni00NTk4LWFiNTYtN2E1Y2M2NDkxNGM4XkEyXkFqcGc@._V1_.jpg,['Arthur Robison'],"['Benn W. Levy', 'Liam O&apos;Flaherty', 'Rolf E. Vanloo']","['Lya De Putti', 'Lars Hanson', 'Warwick Ward']",100.0,None,,Mild,,,,,,,,,,"['October 17, 1929: (London)']","['October 17, 1929: (London)']"
https://www.imdb.com/title/tt0019823/?ref_=sr_i_8,"['Julien Josephson', 'De Leon Anthony', 'Louis N. Parker']",['Alfred E. Green'],"['George Arliss', 'Doris Lloyd', 'David Torrence', 'Joan Bennett', 'Florence Arliss', 'Anthony Bushell', 'Michael Visaroff', 'George Atkinson', 'Cosmo Kyrle Bellew', 'Ted Billings', 'Norman Cannon', 'Henry Carvill', 'Jack Deery', 'Charles E. Evans', 'Shayle Gardner', 'Gwendolyn Logan', 'Margaret Mann', 'Tom McGuire']","['Disraeli', 'Mrs. Travers', 'Lord Probert', 'Clarissa', 'Lady Beaconsfield', 'Charles', 'Count Borsinov', 'Hyde Park Speaker', ""Mr. Terle - Disraeli's Downing Street Butler"", 'Man in Hyde Park Audience', ""Mr. Foljambe - Disraeli's Secretary"", 'Duke of Glastonbury', ""Bascot - Disraeli's Butler"", ""Mr. Potter - Disraeli's Gardener"", 'Dr. Williams', 'Duchess of Glastonbury', 'Queen Victoria', 'Extra as House of Commons Member']",,,,,"November 1, 1929",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],Won 1 Oscar 5 wins & 2 nominations total,5 wins & 2 nominations total,20 Critic reviews,Dated and overly 'dramatised' biopic,"['Political Drama', 'Biography', 'Drama', 'History']",['English'],,,6.0,1656.0,Passed,"queen victoria character,benjamin disraeli character,suez canal,prime minister,foreign policy",https://m.media-amazon.com/images/M/MV5BOTRmNTcwMGQtMDc2ZC00ZTlhLTgzMjgtZjY4ZTkyZmNkNDM4XkEyXkFqcGc@._V1_.jpg,['Alfred E. Green'],"['Julien Josephson', 'De Leon Anthony', 'Louis N. Parker']","['George Arliss', 'Doris Lloyd', 'David Torrence']",90.0,,,,,,,,,,,,,"['October 2, 1929: (New York City, New York)']","['October 2, 1929: (New York City, New York)']"
https://www.imdb.com/title/tt0019702/?ref_=sr_i_9,"['Charles Bennett', 'Alfred Hitchcock', 'Benn W. Levy']",['Alfred Hitchcock'],"['Anny Ondra', 'John Longden', 'Sara Allgood', 'Charles Paton', 'Donald Calthrop', 'Cyril Ritchard', 'Hannah Jones', 'Harvey Braban', 'Ex-Det. Sergt. Bishop', 'Johnny Ashby', 'Joan Barry', 'Johnny Butt', 'Alfred Hitchcock', 'Phyllis Konstam', 'Sam Livesey', 'Phyllis Monkman', 'Percy Parsons']","['Alice White', 'Detective Frank Webber', 'Mrs. White', 'Mr. White', 'Tracy', 'Mr. Crewe, an artist', 'The Landlady', 'Chief Inspector Wald (sound version)', 'The Detective Sergeant', 'Boy', 'Alice White', 'Sergeant', 'Man on Subway', 'Gossiping Neighbour', 'The Chief Inspector (silent version)', 'Gossip Woman', 'Crook']",,,"$1,314",,"October 6, 1929",['United Kingdom'],"['British Museum, Great Russell Street, Bloomsbury, London, England, UK']",['British International Pictures (BIP)'],Awards 2 wins total,,71 Critic reviews,Remarkable piece of cinematic history,"['Police Procedural', 'Psychological Drama', 'Psychological Thriller', 'Crime', 'Drama', 'Mystery', 'Thriller']",['English'],,,6.9,13627.0,Not Rated,"artist,detective,knife,murder,blackmail",https://m.media-amazon.com/images/M/MV5BZmQwN2FjYWItMjhhMS00ZWM1LTg4YjYtNzA5YzcwZWQxOTliXkEyXkFqcGc@._V1_.jpg,['Alfred Hitchcock'],"['Charles Bennett', 'Alfred Hitchcock', 'Benn W. Levy']","['Anny Ondra', 'John Longden', 'Sara Allgood']",85.0,Mild,Mild,None,Mild,Mild,,,,,,,,"['July 28, 1929: (London)']","['July 28, 1929: (London)']"
https://www.imdb.com/title/tt0261680/?ref_=sr_i_10,"['Antônio Marques Costa Filho', 'Bernardo Guimarães']",['Antônio Marques Costa Filho'],"['Felício Agnelo', 'Amadeu Belluci', 'Elisa Betty', 'Ronaldo de Alencar', 'Carlos de Avelar', 'Nélson de Oliveira', 'Emílio Dumas', 'Ruth Gentil', 'Iolanda Gonçalves', 'Maria Lúcia', 'João Martins', 'Rodolfo Mayer', 'Celso Montenegro', 'Carmo Nacarato', 'Antônio Pamplona', 'Leão Ribeiro', 'Alfredo Roussy', 'Iris Thomas']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",,,,,"October 21, 1929",['Brazil'],,['Mundial Filmes'],,,,10,['Drama'],['None'],,,7.0,14.0,,based on novel,,['Antônio Marques Costa Filho'],"['Antônio Marques Costa Filho', 'Bernardo Guimarães']","['Felício Agnelo', 'Amadeu Belluci', 'Elisa Betty']",,,,,,,,,,,,,,,
