Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,directors,stars,characters,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,awards_wins_nominations_total,critic_reviews_count,user_reviews_count,genres,Languages,similar_movies,similar_movies_links,json_ld_rating,json_ld_vote_count,json_ld_content_rating,json_ld_keywords,json_ld_poster_url,json_ld_directors,json_ld_writers,json_ld_actors,json_ld_runtime_minutes,sex_nudity_severity,violence_gore_severity,profanity_severity,alcohol_drugs_smoking_severity,frightening_intense_scenes_severity,producers,composer,cinematographer,editor,casting_director,production_designer,costume_designer,release_dates_by_country,aka_titles,budget_numeric,grossWorldWWide_numeric,gross_US_Canada_numeric,opening_weekend_numeric,profit,roi,total_wins,total_nominations,runtime_minutes,release_month,release_decade,release_weekday,cast_size,genre_count,country_count,rating_mismatch
1. It Happened One Night,1934,1h 45m,Approved,8.1,120K,87.0,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.,https://www.imdb.com/title/tt0025316/?ref_=sr_i_1,"['Robert Riskin', 'Samuel Hopkins Adams']",['Frank Capra'],"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns', 'Jameson Thomas', 'Alan Hale', 'Arthur Hoyt', 'Blanche Friderici', 'Charles C. Wilson', 'Ernie Adams', 'Jessie Arnold', 'Irving Bacon', 'William Bailey', 'William Begg', 'William A. Boardway', 'Ward Bond', 'Harry C. Bradley', 'George P. Breakston']","['Peter Warne', 'Ellie Andrews', 'Alexander Andrews', 'Oscar Shapeley', 'King Westley', 'Danker', 'Zeke', ""Zeke's Wife"", 'Joe Gordon', 'The Bag Thief', 'Woman at Auto Camp', 'Gas Station Attendant', 'Clark', 'Wedding Party Guest', 'Wedding Guest', 'Bus Driver #1', 'Henderson', 'Boy Bus Passenger']","$325,000 (estimated)",,"$18,720",,"February 22, 1934",['United States'],"['Busch Gardens - S. Grove Avenue, Pasadena, California, USA (Andrews estate)']",['Columbia Pictures'],Won 5 Oscars 14 wins & 2 nominations total,14 wins & 2 nominations total,144 Critic reviews,A cute romantic comedy that was a pioneer of its genre,"['Road Trip', 'Romantic Comedy', 'Screwball Comedy', 'Comedy', 'Romance']",['English'],,,8.1,120210.0,Approved,"bus,road movie,reporter,newspaper,road trip",https://m.media-amazon.com/images/M/MV5BZjg2ZmQ3ZGQtMTlhYS00NTcwLWI2NDAtNmM5OThjNDUwOTJlXkEyXkFqcGc@._V1_.jpg,['Frank Capra'],"['Robert Riskin', 'Samuel Hopkins Adams']","['Clark Gable', 'Claudette Colbert', 'Walter Connolly']",105.0,,,,Mild,,,,,,,,,"['February 18, 1934: (Miami, Florida, premiere)']","['February 18, 1934: (Miami, Florida, premiere)']",325000.0,18720.0,,,-306280.0,-0.9424,14.0,2.0,105.0,2.0,1930.0,Thursday,18,5,1,False
2. The Black Cat,1934,1h 5m,Not Rated,6.9,15K,,Stranded honeymooners follow mad doctor to manor.,https://www.imdb.com/title/tt0024894/?ref_=sr_i_2,"['Edgar Allan Poe', 'Peter Ruric', 'Edgar G. Ulmer']",['Edgar G. Ulmer'],"['Boris Karloff', 'Bela Lugosi', 'David Manners', 'Julie Bishop', 'Egon Brecher', 'Harry Cording', 'Lucille Lund', 'Henry Armetta', 'Albert Conti', 'Virginia Ainsworth', 'Luis Alberni', 'King Baggot', 'Herman Bing', 'Symona Boniface', 'John Carradine', 'André Cheron', 'George Davis', 'Andy Devine']","['Hjalmar Poelzig', 'Dr. Vitus Werdegast', 'Peter Alison', 'Joan Alison', 'The Majordomo', 'Thamal', 'Karen', 'The Sergeant', 'The Lieutenant', 'Cultist', 'Train Steward', 'Cultist', 'Car Steward', 'Cultist', 'Cult Organist', 'Train Conductor', 'Bus driver', 'Bit Part']","$95,745 (estimated)",,$180,,"May 7, 1934",['United States'],"['Universal Studios - 100 Universal City Plaza, Universal City, California, USA']",['Universal Pictures'],Awards 2 wins & 1 nomination total,2 wins & 1 nomination total,102 Critic reviews,Cult movie with eerie atmosphere and sinister roles from Karloff and Lugosi,"['Witch Horror', 'Crime', 'Horror', 'Romance', 'Thriller']","['English', 'Latin', 'Hungarian']",,,6.9,14520.0,Not Rated,"expressionism,art deco,black cat,psychiatrist,cult",https://m.media-amazon.com/images/M/MV5BMzRlNjUzMGQtMGM2MS00ODY0LWI1NjktMjNmY2EyYjdmNmFiXkEyXkFqcGc@._V1_.jpg,['Edgar G. Ulmer'],"['Edgar Allan Poe', 'Peter Ruric', 'Edgar G. Ulmer']","['Boris Karloff', 'Bela Lugosi', 'David Manners']",65.0,Mild,Mild,,Mild,Moderate,,,,,,,,"['May 3, 1934: (premiere)']","['May 3, 1934: (premiere)']",95745.0,180.0,,,-95565.0,-0.9981200062666458,2.0,1.0,65.0,5.0,1930.0,Monday,18,5,1,False
3. The Man Who Knew Too Much,1934,1h 15m,Approved,6.7,24K,77.0,An ordinary British couple vacationing in Switzerland suddenly find themselves embroiled in a case of international intrigue when their daughter is kidnapped by spies plotting a political assassination.,https://www.imdb.com/title/tt0025452/?ref_=sr_i_3,"['Charles Bennett', 'D.B. Wyndham-Lewis', 'Edwin Greenwood']",['Alfred Hitchcock'],"['Leslie Banks', 'Edna Best', 'Peter Lorre', 'Frank Vosper', 'Hugh Wakefield', 'Nova Pilbeam', 'Pierre Fresnay', 'Cicely Oates', 'D.A. Clarke-Smith', 'George Curzon', 'Frank Atkinson', 'Betty Baskcomb', ""Cot D'Ordan"", 'Tony De Lungo', 'Clare Greet', 'Pat Hagan', 'Joan Harrison', 'Edward A. Hill-Mitchelson']","['Bob Lawrence', 'Jill Lawrence', 'Abbott', 'Ramon Levine', 'Clive', 'Betty Lawrence', 'Louis Bernard', 'Nurse Agnes', 'Binstead', 'Gibson', 'Policeman Shot Behind Mattress', ""Lawrence's Maid"", 'Concierge', 'Hotel Manager', 'Mrs. Brockett', 'Policeman at Siege', 'Secretary', 'Minor Role']","£40,000 (estimated)",,$247,,"March 21, 1935",['United Kingdom'],"['Royal Albert Hall, South Kensington, London, England, UK (finale)']",['Gaumont British Picture Corporation'],Awards 1 win & 1 nomination total,1 win & 1 nomination total,68 Critic reviews,"An important, early Hitchcock film.","['Conspiracy Thriller', 'Political Thriller', 'Psychological Thriller', 'Suspense Mystery', 'Crime', 'Drama', 'Mystery', 'Thriller']","['English', 'German', 'Italian', 'French']",,,6.7,23648.0,Approved,"kidnapped daughter,teenage girl in jeopardy,spy,dentist,kidnapping",https://m.media-amazon.com/images/M/MV5BNjBiNDBkZjYtNGViYS00NTViLWEyMmEtZTRiMmEwYWUyNTE3XkEyXkFqcGc@._V1_.jpg,['Alfred Hitchcock'],"['Charles Bennett', 'D.B. Wyndham-Lewis', 'Edwin Greenwood']","['Leslie Banks', 'Edna Best', 'Peter Lorre']",75.0,,Mild,,Mild,Mild,,,,,,,,"['December 9, 1934: (London)']","['December 9, 1934: (London)']",40000.0,247.0,,,,,1.0,1.0,75.0,3.0,1930.0,Thursday,18,8,1,False
4. The Thin Man,1934,1h 31m,TV-PG,7.9,35K,86.0,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",https://www.imdb.com/title/tt0025878/?ref_=sr_i_4,"['Albert Hackett', 'Frances Goodrich', 'Dashiell Hammett']",['W.S. Van Dyke'],"['William Powell', 'Myrna Loy', ""Maureen O'Sullivan"", 'Nat Pendleton', 'Minna Gombell', 'Porter Hall', 'Henry Wadsworth', 'William Henry', 'Harold Huber', 'Cesar Romero', 'Natalie Moorhead', 'Edward Brophy', 'Edward Ellis', 'Cyril Thornton', 'Asta', 'Will Aubrey', 'William Augustin', 'Polly Bailey']","['Nick Charles', 'Nora Charles', 'Dorothy Wynant', 'Lt. John Guild', 'Mimi Jorgenson', 'Herbert MacCaulay', 'Tommy', 'Gilbert Wynant', 'Nunheim', 'Chris Jorgenson', 'Julia Wolf', 'Morelli', 'Clyde Wynant', 'Tanner', 'Asta', 'Minor Role', ""Wynant's Butler"", 'Janitress']","$226,408 (estimated)",,,,"May 25, 1934",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA']","['Metro-Goldwyn-Mayer (MGM)', 'Cosmopolitan Productions']",Nominated for 4 Oscars 6 wins & 4 nominations total,6 wins & 4 nominations total,98 Critic reviews,Puts modern movies to shame,"['Cozy Mystery', 'Romantic Comedy', 'Screwball Comedy', 'Whodunnit', 'Comedy', 'Crime', 'Mystery', 'Romance']",['English'],,,7.9,35428.0,TV-PG,"missing person,blackmail,murder,based on novel,christmas party",https://m.media-amazon.com/images/M/MV5BY2IwZmU2YWQtMjU3MS00Mjg1LWJkMjYtYzA0ZjliYzk1Mzg1XkEyXkFqcGc@._V1_.jpg,['W.S. Van Dyke'],"['Albert Hackett', 'Frances Goodrich', 'Dashiell Hammett']","['William Powell', 'Myrna Loy', 'Maureen O&apos;Sullivan']",91.0,,Mild,,Moderate,Mild,,,,,,,,"['June 24, 1934: (London)']","['June 24, 1934: (London)']",226408.0,,,,,,6.0,4.0,91.0,5.0,1930.0,Friday,18,8,1,False
5. Tarzan and His Mate,1934,1h 44m,Passed,7.2,6.1K,,"The idyllic life of Tarzan and Jane is challenged by men on safari who come seeking ivory, and come seeking Jane as well.",https://www.imdb.com/title/tt0025862/?ref_=sr_i_5,"['Edgar Rice Burroughs', 'James Kevin McGuinness', 'Howard Emmett Rogers']","['Cedric Gibbons', 'Jack Conway', 'James C. McKay']","['Johnny Weissmuller', ""Maureen O'Sullivan"", 'Neil Hamilton', 'Paul Cavanagh', 'Forrester Harvey', 'Nathan Curry', 'George Barrows', 'Everett Brown', 'Ray Corrigan', ""Yola d'Avril"", 'Jiggs', 'Paul Porcasi', 'Desmond Roberts', 'William Stack', 'Tanner']","['Tarzan', 'Jane Parker', 'Harry Holt', 'Martin Arlington', 'Beamish', 'Saidi', 'Gorilla', 'Bearer', 'Gorilla', 'Madame Feronde', 'Cheeta', 'Monsieur Feronde', 'Henry Van Ness', 'Tom Pierce', 'Lion']","$1,279,142 (estimated)",,,,"April 20, 1934",['United States'],"['Silver Springs, Florida, USA']",['Metro-Goldwyn-Mayer (MGM)'],Awards 2 wins & 1 nomination total,2 wins & 1 nomination total,46 Critic reviews,The Adventures of Tarzan and Jane,"['Jungle Adventure', 'One-Person Army Action', 'Action', 'Adventure', 'Romance']",['English'],,,7.2,6113.0,Passed,"tarzan character,skinny dipping,jungle,underwater scene,pre code film",https://m.media-amazon.com/images/M/MV5BMWU4ODlkNTAtZjI2ZC00ODBmLTlkNjctMDIyMzg5M2VlOWQxXkEyXkFqcGc@._V1_.jpg,"['Cedric Gibbons', 'Jack Conway', 'James C. McKay']","['Edgar Rice Burroughs', 'James Kevin McGuinness', 'Howard Emmett Rogers']","['Johnny Weissmuller', 'Maureen O&apos;Sullivan', 'Neil Hamilton']",104.0,Mild,Moderate,,Mild,Mild,,,,,,,,"['April 16, 1934: (premiere)', 'May 18, 1934: (London)', 'June 8, 1934: (Toronto)']","['April 16, 1934: (premiere)', 'May 18, 1934: (London)', 'June 8, 1934: (Toronto)']",1279142.0,,,,,,2.0,1.0,104.0,4.0,1930.0,Friday,15,5,1,False
6. Of Human Bondage,1934,1h 23m,Approved,7.0,9.2K,,"A young man finds himself attracted to a cold, unfeeling waitress who might ultimately destroy them both.",https://www.imdb.com/title/tt0025586/?ref_=sr_i_6,"['Lester Cohen', 'W. Somerset Maugham', 'Ann Coleman']",['John Cromwell'],"['Bette Davis', 'Leslie Howard', 'Frances Dee', 'Kay Johnson', 'Reginald Denny', 'Alan Hale', 'Reginald Sheffield', 'Reginald Owen', 'Desmond Roberts', 'Charles Coleman', 'Frank Mills', 'Pat Somerset', 'Harry Allen', 'Ray Atchley', 'Frank Baker', 'Evelyn Beresford', 'Jimmy Casey', 'Ma Curly']","['Mildred', 'Philip', 'Sally', 'Norah', 'Griffiths', 'Miller', 'Dunsford', 'Athelny', 'Dr. Jacobs', None, 'Chimneysweep', None, 'Cabbie at End', 'J. Murphy', 'Policeman Removing Mildred', 'Coughing Lady', None, 'Charwoman']","$403,000 (estimated)",,,,"July 20, 1934",['United States'],"['RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA (Studio)']",['RKO Radio Pictures'],Nominated for 1 Oscar 3 wins & 1 nomination total,3 wins & 1 nomination total,42 Critic reviews,There's no-one better than Bette when she's bad...,"['Dark Romance', 'Film Noir', 'Medical Drama', 'Tragedy', 'Tragic Romance', 'Drama', 'Romance']","['English', 'French']",,,7.0,9234.0,Approved,"clubfoot,based on novel,obsession,skeleton,limping man",https://m.media-amazon.com/images/M/MV5BNDJlNDE0NDEtOTE3Yi00MDQyLTk5NWEtNjFmNjI2NWU1MGEyXkEyXkFqcGc@._V1_.jpg,['John Cromwell'],"['Lester Cohen', 'W. Somerset Maugham', 'Ann Coleman']","['Bette Davis', 'Leslie Howard', 'Frances Dee']",83.0,,,,Mild,,,,,,,,,"['June 28, 1934: (New York City, New York)', 'September 13, 1934: (London)']","['June 28, 1934: (New York City, New York)', 'September 13, 1934: (London)']",403000.0,,,,,,3.0,1.0,83.0,7.0,1930.0,Friday,18,7,1,False
7. L'Atalante,1934,1h 29m,Not Rated,7.7,19K,,Newly married couple Juliette and a ship captain Jean struggle through marriage as they travel on the L'atalante along with the captain's first mate Le père Jules and a cabin boy.,https://www.imdb.com/title/tt0024844/?ref_=sr_i_7,"['Jean Guinée', 'Albert Riéra', 'Jean Vigo']",['Jean Vigo'],"['Dita Parlo', 'Jean Dasté', 'Gilles Margaritis', 'Louis Lefebvre', 'Maurice Gilles', 'Raphaël Diligent', 'Michel Simon', 'Claude Aveline', 'René Blech', 'Lou Bonin', 'Jacques B. Brunius', 'Fanny Clair', 'Fanny Clar', 'Charles Dorat', 'Paul Grimault', 'Kani Kipçak', 'Genya Lozinska', 'Gen Paul']","['Juliette', 'Jean', 'Le camelot (peddler)', 'Le gosse (cabin boy)', 'Le chef de bureau (office manager)', 'Le trimardeur (tramp', 'Le père Jules (old Jules)', None, 'Best Man at Wedding', 'Passenger at Railway Station', 'Policeman with a Bicycle', ""Juliette's Mother"", 'La mère de Juliette', 'Thief', 'Passenger at Railway Station', 'Jackie Jackmark', 'Fortune Teller', 'Master of Ceremonies at Wedding']",,,"$8,209",,"June 21, 1947",['France'],"['Bassin de la Villette, Paris 19, Paris, France (Lake crossed by the barge.)']","['Argui-Film', 'Gaumont-Franco Film-Aubert (G.F.F.A)']",Awards 1 nomination total,,106 Critic reviews,To See Paris and ...,"['French', 'Dark Romance', 'Feel-Good Romance', 'Adventure', 'Drama', 'Romance']","['French', 'Russian']",,,7.7,18739.0,Not Rated,"superstition,cat lover,stray cat,human cat relationship,cat",https://m.media-amazon.com/images/M/MV5BMjYwMzU5MGYtYTQzOC00YWJhLTlhNmQtNDMxMWZjYjVhMzA0XkEyXkFqcGc@._V1_.jpg,['Jean Vigo'],"['Jean Guinée', 'Albert Riéra', 'Jean Vigo']","['Dita Parlo', 'Jean Dasté', 'Gilles Margaritis']",89.0,Mild,Mild,Mild,Mild,,,,,,,,,"['April 24, 1934: (limited)', 'September 14, 1934: (Paris)']","['April 24, 1934: (limited)', 'September 14, 1934: (Paris)']",,8209.0,,,,,,,89.0,6.0,1940.0,Saturday,18,6,1,False
8. The Lost Patrol,1934,1h 13m,Approved,6.8,4K,,"A dozen British soldiers, lost in a Mesopotamian desert during World War I, are menaced by unseen Arab enemies.",https://www.imdb.com/title/tt0025423/?ref_=sr_i_8,"['Dudley Nichols', 'Garrett Fort', 'Philip MacDonald']",['John Ford'],"['Victor McLaglen', 'Boris Karloff', 'Wallace Ford', 'Reginald Denny', 'J.M. Kerrigan', 'Billy Bevan', 'Alan Hale', 'Brandon Hurst', 'Douglas Walton', 'Sammy Stein', 'Howard Wilson', 'Paul Hanson', 'Abdullah Abbas', 'Frank Baker', 'Neville Clark', 'Francis Ford']","['The Sergeant', 'Sanders', 'Morelli', 'Brown', 'Quincannon', 'Hale', 'Cook', 'Bell', 'Pearson', 'Abelson', 'Aviator', 'MacKay', 'Last Arab', 'Rescue Patrol Colonel', 'Lt. Hawkins', 'Arab']","$254,000 (estimated)",,,,"February 16, 1934",['United States'],"['Buttercup Dunes, Imperial County, California, USA']",['RKO Radio Pictures'],Nominated for 1 Oscar 3 wins & 1 nomination total,3 wins & 1 nomination total,30 Critic reviews,The Lost Patrol,"['Action', 'Adventure', 'Drama', 'War']",['English'],,,6.8,3990.0,Approved,"ford and mclaglen,psychotronic film,reference to rudyard kipling,ambush,song",https://m.media-amazon.com/images/M/MV5BY2I3YzI3YzgtNzViOC00ZWU1LTg3NTctNGUwMmIxMGQ5M2Q3XkEyXkFqcGc@._V1_.jpg,['John Ford'],"['Dudley Nichols', 'Garrett Fort', 'Philip MacDonald']","['Victor McLaglen', 'Boris Karloff', 'Wallace Ford']",73.0,,,,,,,,,,,,,"['March 27, 1934: (London)']","['March 27, 1934: (London)']",254000.0,,,,,,3.0,1.0,73.0,2.0,1930.0,Friday,16,4,1,False
9. Kiss and Make-Up,1934,1h 18m,Approved,5.9,947,,"A handsome plastic surgeon has a beauty clinic, where many a beautiful client falls in love with him. His unnoticed secretary is in love with him, too.",https://www.imdb.com/title/tt0025351/?ref_=sr_i_9,"['István Békeffy', 'Harlan Thompson', 'George Marion Jr.']",['Harlan Thompson'],"['Cary Grant', 'Genevieve Tobin', 'Helen Mack', 'Edward Everett Horton', 'Lucien Littlefield', 'Mona Maris', 'Rafael Alcayde', 'Toby Wing', 'Dorothy Christy', 'Judith Arlen', 'Betty Bryson', 'Jean Carmen', 'Helen Cohan', 'Dorothy Drake', 'Joan Gale', 'Hazel Hayes', 'Ann Hovey', 'Lucille Lund']","['Dr. Maurice Lamar', 'Eve Caron', 'Annie', 'Marcel Caron', 'Max Pascal', 'Countess Rita', 'Rolando', 'Consuelo of Claghorne', 'Greta', 'Salon Worker', 'Salon Client', ""Maharajah's Wife"", 'Radio Announcer', 'Beautician', 'Salon Worker', 'Salon Worker', 'Lady Rummond-Dray', 'Magda']",,,,,"July 13, 1934",['United States'],"['Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA (Studio)']",['Paramount Pictures'],,,10 Critic reviews,Early Cary Grant film is an entertaining romantic comedy,"['Comedy', 'Musical', 'Romance']",['English'],,,5.9,947.0,Approved,"piano,singing,womanizer,jealousy,another ex lover",https://m.media-amazon.com/images/M/MV5BYjBmNDJmYzctZWE4NS00MzQ5LWI4MWItYjNjZmE0MmZkN2Y0XkEyXkFqcGc@._V1_.jpg,['Harlan Thompson'],"['István Békeffy', 'Harlan Thompson', 'George Marion Jr.']","['Cary Grant', 'Genevieve Tobin', 'Helen Mack']",78.0,,,,Mild,,,,,,,,,"['July 27, 1934: (Toronto, Ontario, premiere)', 'January 5, 1935: (Newcastle, New South Wales, premiere)']","['July 27, 1934: (Toronto, Ontario, premiere)', 'January 5, 1935: (Newcastle, New South Wales, premiere)']",,,,,,,,,78.0,7.0,1930.0,Friday,18,3,1,False
10. Two Monks,1934,1h 19m,Not Rated,7.0,925,,"When the Monk Javier acts violently in a gothic monastery, the Prior asks the Monk Juan to calm him down since he believes that Javier is possessed by demons. When Juan comes to Javier's cell, they recognize each other and Javier runs after him. Javier reaches Juan and hits his head with a heavy crucifix, and returns to his cell. Later, Javier confesses to the Prior that Juan was his best friend when he was a tubercular musician and how their friendship ended when his beloved fiancé Ana died. Then, Juan confesses to the Prior that Javier's confession is correct, but he would like to tell the same story through his eyes.",https://www.imdb.com/title/tt0025062/?ref_=sr_i_10,"['Juan Bustillo Oro', 'José Manuel Cordero']",['Juan Bustillo Oro'],"['Víctor Urruchúa', 'Carlos Villatoro', 'Magda Haller', 'Beltrán de Heredia', 'Emma Roldán', 'Alberto Miquel', 'Manuel Noriega', 'Manuel Bernaldez', 'José Cortés', 'Conchita Gentil Arcos', 'Hugo Taboada', 'Sofía Haller']","['Juan', 'Javier', 'Anita', 'Prior', 'Gertrudis', None, 'Monje', None, None, None, None, None]",,,,,"January 20, 1935",['Mexico'],"['Mexico City, Distrito Federal, Mexico']",['Producciones Proa S.A.'],,,15 Critic reviews,Several Familiar Narrative Threads in an Unfamiliar Setting,"['Spanish', 'Drama', 'Horror', 'Mystery', 'Romance']",['Spanish'],,,7.0,925.0,Not Rated,"expressionism,pipe organ,gay subtext,gothic horror,gothic",https://m.media-amazon.com/images/M/MV5BMzBjZmE0YzgtOWFiNi00MzQ5LThiYmItMGY2YzdmOTAyZmU3XkEyXkFqcGc@._V1_.jpg,['Juan Bustillo Oro'],"['Juan Bustillo Oro', 'José Manuel Cordero']","['Víctor Urruchúa', 'Carlos Villatoro', 'Magda Haller']",79.0,,,,,,,,,,,,,"['November 28, 1934: (Mexico City)', 'July 15, 1936: (Barcelona)', 'October 16, 2020: (4K restoration, Athens Avant Garde Film Festival)']","['November 28, 1934: (Mexico City)', 'July 15, 1936: (Barcelona)', 'October 16, 2020: (4K restoration, Athens Avant Garde Film Festival)']",,,,,,,,,79.0,1.0,1930.0,Sunday,12,5,1,False
