Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,directors,stars,characters,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,awards_wins_nominations_total,critic_reviews_count,user_reviews_count,genres,Languages,similar_movies,similar_movies_links,json_ld_rating,json_ld_vote_count,json_ld_content_rating,json_ld_keywords,json_ld_poster_url,json_ld_directors,json_ld_writers,json_ld_actors,json_ld_runtime_minutes,sex_nudity_severity,violence_gore_severity,profanity_severity,alcohol_drugs_smoking_severity,frightening_intense_scenes_severity,producers,composer,cinematographer,editor,casting_director,production_designer,costume_designer,release_dates_by_country,aka_titles,budget_numeric,grossWorldWWide_numeric,gross_US_Canada_numeric,opening_weekend_numeric,profit,roi,total_wins,total_nominations,runtime_minutes,release_month,release_decade,release_weekday,cast_size,genre_count,country_count,rating_mismatch
1. Snow White and the Seven Dwarfs,1937,1h 23m,Approved,7.6,239K,96.0,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",https://www.imdb.com/title/tt0029583/?ref_=sr_i_1,"['Jacob Grimm', 'Wilhelm Grimm', 'Ted Sears']","['William Cottrell', 'David Hand', 'Wilfred Jackson']","['Adriana Caselotti', 'Harry Stockwell', 'Lucille La Verne', 'Roy Atwell', 'Stuart Buchanan', 'Eddie Collins', 'Pinto Colvig', 'Marion Darlington', 'Billy Gilbert', 'Otis Harlan', 'George Kiplunks', 'James MacDonald', 'George Magrill', 'Scotty Mattraw', 'Clarence Nash Jr.', 'Jack Nill', 'Moroni Olsen', 'Purv Pullen']","['Snow White', 'Prince', 'The Evil Queen', 'Doc', 'Huntsman', 'Dopey', 'Sleepy', 'Birds', 'Sneezy', 'Happy', 'Squirrels', 'Yodeling', 'Doves', 'Bashful', 'Raven', 'Vultures', 'Magic Mirror', 'Birds']","$1,499,000 (estimated)","$6,017,914","$185,099,477","$184,925,486","February 4, 1938",['United States'],"['Walt Disney Studios - 2719 Hyperion Avenue, Silver Lake, Los Angeles, California, USA (Walt Disney Productions)']","['Walt Disney Animation Studios', 'Walt Disney Productions']",Nominated for 1 Oscar 13 wins & 6 nominations total,13 wins & 6 nominations total,147 Critic reviews,"And then there was Disney,,,","['Adventure Epic', 'Classic Musical', 'Fairy Tale', 'Fantasy Epic', 'Hand-Drawn Animation', 'Romantic Epic', 'Teen Adventure', 'Teen Fantasy', 'Teen Romance', 'Adventure']",['English'],,,7.6,239216.0,Approved,"brothers grimm,fairy tale,snow white and the seven dwarfs,evil stepmother,princess",https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_.jpg,"['William Cottrell', 'David Hand', 'Wilfred Jackson']","['Jacob Grimm', 'Wilhelm Grimm', 'Ted Sears']","['Adriana Caselotti', 'Harry Stockwell', 'Lucille La Verne']",83.0,,Mild,,,Mild,,,,,,,,"['December 21, 1937: (Los Angeles, California, premiere)', 'January 1, 1938: (Washington, D.C.)', 'January 13, 1938: (Miami, Florida)', 'January 13, 1938: (New York City, New York)', 'January 22, 1938: (Buenos Aires, premiere)']","['December 21, 1937: (Los Angeles, California, premiere)', 'January 1, 1938: (Washington, D.C.)', 'January 13, 1938: (Miami, Florida)', 'January 13, 1938: (New York City, New York)', 'January 22, 1938: (Buenos Aires, premiere)']",1499000.0,185099477.0,184925486.0,6017914.0,183600477.0,122.48197264843229,13.0,6.0,83.0,2.0,1930.0,Friday,18,10,1,False
2. Pépé le Moko,1937,1h 34m,Approved,7.6,8.8K,98.0,"A wanted gangster is both king and prisoner of the Casbah. He's protected from arrest by his friends, but is torn by his desire for freedom. A visiting Parisian beauty may determine his fate.",https://www.imdb.com/title/tt0029453/?ref_=sr_i_2,"['Henri La Barthe', 'Julien Duvivier', 'Jacques Constant']",['Julien Duvivier'],"['Jean Gabin', 'Gabriel Gabrio', 'Saturnin Fabre', 'Fernand Charpin', 'Lucas Gridoux', 'Gilbert Gil', 'Marcel Dalio', 'Charles Granval', 'Gaston Modot', 'René Bergeron', 'Paul Escoffier', 'Roger Legris', 'Jean Témerson', 'Robert Ozanne', 'Philippe Richard', 'Georges Péclet', 'Mireille Balin', 'Line Noro']","['Pépé le Moko', 'Carlos', 'Le Grand Père', 'Régis', 'Slimane', 'Pierrot', ""L'Arbi"", 'Maxime', 'Jimmy', 'Meunier', 'Louvain', 'Max', 'Gravère', 'Gendron', 'Janvier', 'Barsac', 'Gaby', 'Inès']","$60,000 (estimated)",,"$156,544","$155,895","March 3, 1941",['France'],"['Algiers, Algeria (exteriors, backgrounds)']",['Paris Film'],Awards 2 wins total,,68 Critic reviews,White Nights,"['French', 'Crime', 'Drama', 'Romance']","['French', 'Arabic', 'English']",,,7.6,8763.0,Approved,"casbah,algiers algeria,character name as title,algiers,franco algerian",https://m.media-amazon.com/images/M/MV5BNGJiYjk1ZDMtNDA3Zi00OGM0LWI0MjctMzllMTJkZTIyMzllXkEyXkFqcGc@._V1_.jpg,['Julien Duvivier'],"['Henri La Barthe', 'Julien Duvivier', 'Jacques Constant']","['Jean Gabin', 'Gabriel Gabrio', 'Saturnin Fabre']",94.0,,,,,,,,,,,,,"['February 26, 1937: (Brussels)', 'April 1937: (Curzon Theatre, London)']","['February 26, 1937: (Brussels)', 'April 1937: (Curzon Theatre, London)']",60000.0,156544.0,155895.0,,96544.0,1.6090666666666666,,,94.0,3.0,1940.0,Monday,18,4,1,False
3. Grand Illusion,1937,1h 53m,Not Rated,8.0,41K,,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",https://www.imdb.com/title/tt0028950/?ref_=sr_i_3,"['Charles Spaak', 'Jean Renoir']",['Jean Renoir'],"['Jean Gabin', 'Dita Parlo', 'Pierre Fresnay', 'Erich von Stroheim', 'Julien Carette', 'Georges Péclet', 'Werner Florian', 'Jean Dasté', 'Sylvain Itkine', 'Gaston Modot', 'Marcel Dalio', 'Jacques Becker', 'Habib Benglia', 'Pierre Blondy', 'Albert Brouett', 'George Forster', 'Georges Fronval', 'Karl Heil']","['Le lieutenant Maréchal', 'Elsa', 'Le captaine de Boeldieu', 'Le captaine von Rauffenstein', ""Cartier - l'acteur"", 'Le serrurier', 'Le sergent Arthur', ""L'instituteur"", 'Le lieutenant Demolder', ""L'ingénieur"", 'Le lieutenant Rosenthal', ""L'officier anglais"", 'Le sénégalais', 'Un soldat', 'Un prisonnier', 'Maison-Neuve', 'Le soldat allemand qui tue le capitaine de Boeldieu', 'Un officier de la forteresse']",,,"$23,569",,"September 12, 1938",['France'],"['Château du Haut Koenigsbourg, Orschwiller, Bas-Rhin, France (Winterborn)']","[""Réalisation d'art cinématographique (RAC)""]",Nominated for 1 Oscar 7 wins & 2 nominations total,7 wins & 2 nominations total,96 Critic reviews,"The first great and unsurpassed film of prisoners of war, focussing on gentlemanly soldiery","['French', 'Drama', 'War']","['French', 'German', 'English', 'Russian']",,,8.0,41240.0,Not Rated,"prison guard,christmas,burning book,broken arm,border crossing",https://m.media-amazon.com/images/M/MV5BMTg3MTI5NTk0N15BMl5BanBnXkFtZTgwMjU1MDM5MTE@._V1_.jpg,['Jean Renoir'],"['Charles Spaak', 'Jean Renoir']","['Jean Gabin', 'Dita Parlo', 'Pierre Fresnay']",113.0,,Mild,Mild,Mild,,,,,,,,,"['June 8, 1937: (Paris, premiere)', 'June 18, 1937: (Brussels)', 'August 18, 1937: (Venice Film Festival)']","['June 8, 1937: (Paris, premiere)', 'June 18, 1937: (Brussels)', 'August 18, 1937: (Venice Film Festival)']",,23569.0,,,,,7.0,2.0,113.0,9.0,1930.0,Monday,18,3,1,False
4. The Awful Truth,1937,1h 30m,Approved,7.6,23K,87.0,"A married couple files an amicable divorce, but find letting go of each other harder than they originally thought.",https://www.imdb.com/title/tt0028597/?ref_=sr_i_4,"['Viña Delmar', 'Arthur Richman', 'Sidney Buchman']",['Leo McCarey'],"['Irene Dunne', 'Cary Grant', 'Ralph Bellamy', ""Alexander D'Arcy"", 'Cecil Cunningham', 'Molly Lamont', 'Esther Dale', 'Joyce Compton', 'Robert Allen', 'Robert Warwick', 'Mary Forbes', 'Claud Allister', 'Asta', 'Al Bridge', 'Wyn Cahoon', 'Ruth Cherrington', 'Dora Clement', 'Kathryn Curry']","['Lucy Warriner', 'Jerry Warriner', 'Daniel Leeson', 'Armand Duvalle', 'Aunt Patsy', 'Barbara Vance', 'Mrs. Leeson', 'Dixie Belle Lee', 'Frank Randall', 'Mr. Vance', 'Mrs. Vance', 'Lord Fabian', 'Mr. Smith', 'Motor Cop', 'Mrs. Barnsley', 'Minor Role', 'Minor Role', 'Celeste']","$600,000 (estimated)",,,,"October 21, 1937",['United States'],"['Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA']",['Columbia Pictures'],Won 1 Oscar 7 wins & 5 nominations total,7 wins & 5 nominations total,71 Critic reviews,"That hat doesn't fit, Cary","['Romantic Comedy', 'Screwball Comedy', 'Comedy', 'Romance']","['English', 'French', 'Italian']",,,7.6,23421.0,Approved,"divorce,dog,piano,national film registry,remake",https://m.media-amazon.com/images/M/MV5BNDVlNDEwZTYtMmZmNi00OGMwLWFkNTYtZWU2ZWFjZDdlZGM4XkEyXkFqcGc@._V1_.jpg,['Leo McCarey'],"['Viña Delmar', 'Arthur Richman', 'Sidney Buchman']","['Irene Dunne', 'Cary Grant', 'Ralph Bellamy']",90.0,,,,Mild,,,,,,,,,"['October 20, 1937: (Philadelphia, Pennsylvania)']","['October 20, 1937: (Philadelphia, Pennsylvania)']",600000.0,,,,,,7.0,5.0,90.0,10.0,1930.0,Thursday,18,4,1,False
5. Marked Woman,1937,1h 36m,Approved,7.1,5.5K,73.0,A crusading district attorney persuades a clip joint hostess to testify against her mobster boss after her innocent sister is accidentally murdered during one of his unsavory parties.,https://www.imdb.com/title/tt0029217/?ref_=sr_i_5,"['Robert Rossen', 'Abem Finkel', 'Seton I. Miller']","['Lloyd Bacon', 'Michael Curtiz']","['Bette Davis', 'Humphrey Bogart', 'Lola Lane', 'Isabel Jewell', 'Rosalind Marquis', 'Mayo Methot', 'Jane Bryan', 'Allen Jenkins', 'Eduardo Ciannelli', 'John Litel', 'Ben Welden', ""Damian O'Flynn"", ""Henry O'Neill"", 'Raymond Hatton', 'Carlos San Martín', 'William B. Davidson', 'Kenneth Harlan', 'Robert Strange']","['Mary', 'David Graham', 'Gabby', 'Emmy Lou', 'Florrie', 'Estelle', 'Betty', 'Louie', 'Johnny Vanning', 'Gordon', 'Charlie', 'Ralph Krawford', 'Sheldon', 'Lawyer', 'Head Waiter', 'Crandall', 'Eddie', 'George Beler']",,,,,"April 10, 1937",['United States'],"['Times Square, Manhattan, New York City, New York, USA (opening establishing shot)']",['Warner Bros.'],Awards 3 wins & 1 nomination total,3 wins & 1 nomination total,28 Critic reviews,"Hostesses Arrested In ""Clip-Joint"" Murder.","['Film Noir', 'Crime', 'Drama', 'Thriller']",['English'],,,7.1,5540.0,Approved,"prostitution,gangster,clip joint,murder,trial",https://m.media-amazon.com/images/M/MV5BYTdkZGQ0ODAtMzlhNC00NTUwLWI3YjItZWZhNjI3YzE1MmJiXkEyXkFqcGc@._V1_.jpg,"['Lloyd Bacon', 'Michael Curtiz']","['Robert Rossen', 'Abem Finkel', 'Seton I. Miller']","['Bette Davis', 'Humphrey Bogart', 'Lola Lane']",96.0,,Mild,,Mild,Mild,,,,,,,,"['April 3, 1937: (South Bend, Indiana, premiere)', 'May 6, 1937: (London)', 'August 1937: (Venice Film Festival)']","['April 3, 1937: (South Bend, Indiana, premiere)', 'May 6, 1937: (London)', 'August 1937: (Venice Film Festival)']",,,,,,,3.0,1.0,96.0,4.0,1930.0,Saturday,18,4,1,False
6. Topper,1937,1h 37m,Approved,7.2,9.1K,,"A fun-loving couple, finding that they died and are now ghosts, decide to shake up the stuffy lifestyle of a friend of theirs.",https://www.imdb.com/title/tt0029682/?ref_=sr_i_6,"['Jack Jevne', 'Eric Hatch', 'Eddie Moran']",['Norman Z. McLeod'],"['Cary Grant', 'Constance Bennett', 'Roland Young', 'Billie Burke', 'Alan Mowbray', 'Eugene Pallette', 'Arthur Lake', 'Hedda Hopper', 'Virginia Sale', 'Theodore von Eltz', 'J. Farrell MacDonald', 'Elaine Shepard', 'Doodles Weaver', 'Si Jenks', 'Three Hits and a Miss', 'Harry Adams', 'Ernie Alexander', 'Irving Bacon']","['George Kerby', 'Marion Kerby', 'Cosmo Topper', 'Mrs. Topper', 'Wilkins', 'Casey', 'Elevator Boy', 'Mrs. Stuyvesant', 'Miss Johnson', 'Hotel Manager', 'Policeman', 'Secretary', 'Rustic', 'Rustic', 'Three Hits and a Miss', 'Nightclub Patron', 'Reporter', 'Hotel Clerk']","$500,000 (estimated)",,,,"July 16, 1937",['United States'],"['Bullocks Wilshire, 3050 Wilshire Blvd Los Angeles, California, USA (Seabreeze Hotel entrance)']","['Metro-Goldwyn-Mayer (MGM)', 'Hal Roach Studios']",Nominated for 2 Oscars 1 win & 2 nominations total,1 win & 2 nominations total,31 Critic reviews,"Introducing George and Marion Kirby, ghosts","['Screwball Comedy', 'Comedy', 'Fantasy', 'Romance']",['English'],,,7.2,9149.0,Approved,"ghost,accident,screwball comedy,car crash,afterlife",https://m.media-amazon.com/images/M/MV5BZTA4ZjY1M2QtNTlkOS00M2NiLTg4YWQtNzkxNjMxOWEyNDFiXkEyXkFqcGc@._V1_.jpg,['Norman Z. McLeod'],"['Jack Jevne', 'Eric Hatch', 'Eddie Moran']","['Cary Grant', 'Constance Bennett', 'Roland Young']",97.0,,,,Mild,,,,,,,,,"['August 19, 1937: (New York City, New York)']","['August 19, 1937: (New York City, New York)']",500000.0,,,,,,1.0,2.0,97.0,7.0,1930.0,Friday,18,4,1,False
7. You Only Live Once,1937,1h 26m,Approved,7.2,8.4K,,"The public defender's secretary and an ex-convict get married and try to make a life together, but a series of disasters sends their lives spiraling out of control.",https://www.imdb.com/title/tt0029808/?ref_=sr_i_7,"['Gene Towne', 'C. Graham Baker']",['Fritz Lang'],"['Sylvia Sidney', 'Henry Fonda', 'Barton MacLane', 'Jean Dixon', 'William Gargan', 'Jerome Cowan', ""Charles 'Chic' Sale"", 'Margaret Hamilton', 'Warren Hymer', ""Guinn 'Big Boy' Williams"", 'John Wray', 'Walter De Palma', 'Earl Askam', 'Hooper Atchley', 'Allen Black', 'Stanley Blystone', 'Ward Bond', 'Wade Boteler']","['Joan Graham', 'Eddie Taylor', 'Stephen Whitney', 'Bonnie Graham', 'Father Dolan', 'Dr. Hill', 'Ethan', 'Hester', 'Buggsy', 'Rogers', 'Warden', 'Monk', 'Corridor Guard', 'Teletype Operator', 'Baby Taylor', 'Rafferty - Guard', 'Casey - Guard', 'Pat - Policeman with Package']","$575,000 (estimated)",,,,"January 29, 1937",['United States'],,['Walter Wanger Productions'],Awards 3 wins total,,65 Critic reviews,A Bad Movie Despite Its Director And Stars,"['Film Noir', 'Tragedy', 'Crime', 'Drama']",['English'],,,7.2,8374.0,Approved,"on the run,prejudice,death sentence,miscarriage of justice,paranoia",https://m.media-amazon.com/images/M/MV5BNGM4ZTA5MzgtNTI4Mi00MWViLTlkNDUtZTI2YzRkNDhiODVkXkEyXkFqcGc@._V1_.jpg,['Fritz Lang'],"['Gene Towne', 'C. Graham Baker']","['Sylvia Sidney', 'Henry Fonda', 'Barton MacLane']",86.0,,,,,,,,,,,,,"['January 23, 1937: (Dallas, Texas)', 'January 28, 1937: (Kansas City, Kansas)', 'January 29, 1937: (Kansas City, Missouri)', 'January 29, 1937: (Washington, D.C.)']","['January 23, 1937: (Dallas, Texas)', 'January 28, 1937: (Kansas City, Kansas)', 'January 29, 1937: (Kansas City, Missouri)', 'January 29, 1937: (Washington, D.C.)']",575000.0,,,,,,,,86.0,1.0,1930.0,Friday,18,4,1,False
8. Nothing Sacred,1937,1h 17m,Approved,6.8,7.8K,78.0,"An eccentric woman learns she is not dying of radium poisoning as earlier assumed, but when she meets a reporter looking for a story, she feigns sickness again for her own profit.",https://www.imdb.com/title/tt0029322/?ref_=sr_i_8,"['Ben Hecht', 'James Street', 'Robert Carson']",['William A. Wellman'],"['Carole Lombard', 'Fredric March', 'Charles Winninger', 'Walter Connolly', 'Sig Ruman', 'Frank Fay', 'Troy Brown Sr.', 'Maxie Rosenbloom', 'Margaret Hamilton', 'Olin Howland', 'Raymond Scott and His Quintet', 'Monica Bannister', 'Bobby Barber', 'Billy Barty', 'Tommy E. Baughner', 'Everett Brown', 'Helen Brown', 'Allan Cavan']","['Hazel Flagg', 'Wally Cook', 'Dr. Enoch Downer', 'Oliver Stone', 'Dr. Emil Eggelhoffer', 'Master of Ceremonies', 'Ernest Walker', 'Max Levinsky', 'Vermont Drugstore Lady', 'Vermont Baggage Man', 'Novelty Swing Orchestra', ""'Pocahontas'"", 'Nightclub Patron', ""Boy Biting Wally's Ankle"", 'Minor Role', 'Policeman', 'Secretary', 'Guest at Banquet']","$1,831,927 (estimated)",,"$3,765",,"November 26, 1937",['United States'],"['Agoura Hills, California, USA']",['Selznick International Pictures'],Awards 2 wins total,,57 Critic reviews,The original and the best,"['Satire', 'Screwball Comedy', 'Comedy', 'Drama', 'Fantasy', 'Romance']",['English'],,,6.8,7829.0,Approved,"newspaper reporter,small town girl,screwball comedy,hoax,radium poisoning",https://m.media-amazon.com/images/M/MV5BNjg5NTA4OWYtYzY0YS00ZjM1LWI3NmQtYWVkM2FkNzljZGRjXkEyXkFqcGc@._V1_.jpg,['William A. Wellman'],"['Ben Hecht', 'James Street', 'Robert Carson']","['Carole Lombard', 'Fredric March', 'Charles Winninger']",77.0,,,,,,,,,,,,,"['November 20, 1937: (Chicago, Illinois)']","['November 20, 1937: (Chicago, Illinois)']",1831927.0,3765.0,,,-1828162.0,-0.9979447871012328,,,77.0,11.0,1930.0,Friday,18,6,1,False
9. Kid Galahad,1937,1h 42m,Approved,7.2,4.4K,64.0,"Fight promoter Nick Donati grooms a bellhop as a future champ, but has second thoughts after the now-named Kid Galahad falls for his sister.",https://www.imdb.com/title/tt0029080/?ref_=sr_i_9,"['Seton I. Miller', 'Francis Wallace']",['Michael Curtiz'],"['Edward G. Robinson', 'Bette Davis', 'Humphrey Bogart', 'Wayne Morris', 'Jane Bryan', 'Harry Carey', 'William Haade', 'Soledad Jiménez', 'Joe Cunningham', 'Ben Welden', 'Joseph Crehan', 'Veda Ann Borg', 'Frank Faylen', 'Harland Tucker', 'Bob Evans', 'Hank Hankinson', 'Bob Nestell', 'Jack Kranz']","['Nick Donati', 'Fluff', 'Turkey Morgan', 'Ward Guisenberry (Kid Galahad)', 'Marie', 'Silver Jackson', 'Chuck McGraw', 'Mrs. Donati', 'Joe Taylor', 'Buzz Barett', 'Brady', 'The Redhead', 'Barney', 'Gunman', 'Sam', 'Burke', ""O'Brien"", 'Denbaugh']",,,,,"May 29, 1937",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],Awards 5 wins & 1 nomination total,5 wins & 1 nomination total,20 Critic reviews,"Knockout entertainment! ... Eddie to Bette: ""Am I outta the doghouse now?""","['Boxing', 'Film Noir', 'Crime', 'Drama', 'Romance', 'Sport']","['English', 'Italian']",,,7.2,4360.0,Approved,"based on magazine story,boxing sport,gangster,heavyweight championship fight,boxing promoter",https://m.media-amazon.com/images/M/MV5BNTIwNGExOTYtMmYxNS00ZGVjLWIzOTktNzA1Njk1M2Y5ZWFjXkEyXkFqcGc@._V1_.jpg,['Michael Curtiz'],"['Seton I. Miller', 'Francis Wallace']","['Edward G. Robinson', 'Bette Davis', 'Humphrey Bogart']",102.0,,Moderate,,Moderate,,,,,,,,,"['May 26, 1937: (premiere)', 'June 16, 1937: (London)', 'August 1937: (Venice Film Festival)']","['May 26, 1937: (premiere)', 'June 16, 1937: (London)', 'August 1937: (Venice Film Festival)']",,,,,,,5.0,1.0,102.0,5.0,1930.0,Saturday,18,6,1,False
10. Sh! The Octopus,1937,54m,Approved,5.5,776,,"Kelly and Dempsey, along with strangers, are trapped in a lighthouse, terrorized by a killer octopus and a criminal mastermind named after the same creature. Their objective is to survive and uncover the truth behind the sinister events.",https://www.imdb.com/title/tt0029541/?ref_=sr_i_10,"['George Bricker', 'Ralph Spence', 'Ralph Murphy']",['William C. McGann'],"['Hugh Herbert', 'Allen Jenkins', 'Marcia Ralston', 'John Eldredge', 'George Rosener', 'Brandon Tynan', 'Eric Stanley', 'Margaret Irving', 'Elspeth Dudgeon', 'Edward Biby', 'Frank Hagney', 'Lew Harvey', 'Wendell Niles', 'Henry Otho']","['Harold Kelly', 'Dempsey', 'Vesta Vernoff', 'Paul Morgan', 'Captain Hook', 'Captain Cobb', 'David Dow Harriman', 'Polly Crane', 'Nanny', 'Sinister Plotter', 'Sinister Plotter', 'Sinister Plotter', 'Police Broadcaster', 'Sinister Plotter']",,,,,"December 11, 1937",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],,,20 Critic reviews,"I'm a huge Hugh Herbert fan, but....","['Slapstick', 'Comedy', 'Mystery', 'Thriller']",['English'],,,5.5,776.0,Approved,"cult favorite,hook hand,poisonous gas,underground cave,cavern",https://m.media-amazon.com/images/M/MV5BOWVmNjU3Y2YtN2QxMC00NTU4LWIzYjQtZmM1YTdhMTVjMDFiXkEyXkFqcGc@._V1_.jpg,['William C. McGann'],"['George Bricker', 'Ralph Spence', 'Ralph Murphy']","['Hugh Herbert', 'Allen Jenkins', 'Marcia Ralston']",54.0,,,,,,,,,,,,,"['November 18, 1937: (Los Angeles, CA)', 'January 4, 1938: (London)', 'December 20, 1956: (Boston, Massachusetts, TV premiere)']","['November 18, 1937: (Los Angeles, CA)', 'January 4, 1938: (London)', 'December 20, 1956: (Boston, Massachusetts, TV premiere)']",,,,,,,,,54.0,12.0,1930.0,Saturday,14,4,1,False
